Number Flocks;Length;Grid;Time;Flocks
4;4;80;462;579
4;4;100;582;595
4;4;120;756;625
4;4;140;973;634
4;4;200;1822;691
4;6;80;373;54
4;6;100;456;56
4;6;120;582;61
4;6;140;738;59
4;6;200;1383;64
4;8;80;328;5
4;8;100;391;5
4;8;120;487;7
4;8;140;611;6
4;8;200;1117;6
4;10;80;304;0
4;10;100;357;0
4;10;120;439;0
4;10;140;546;0
4;10;200;984;0
4;20;80;284;0
4;20;100;322;0
4;20;120;392;0
4;20;140;479;0
4;20;200;851;0
4;30;80;284;0
4;30;100;326;0
4;30;120;390;0
4;30;140;477;0
4;30;200;846;0
6;4;80;415;10
6;4;100;516;10
6;4;120;663;12
6;4;140;843;13
6;4;200;1586;17
6;6;80;367;1
6;6;100;447;1
6;6;120;575;1
6;6;140;719;2
6;6;200;1325;2
6;8;80;335;0
6;8;100;398;0
6;8;120;498;0
6;8;140;621;0
6;8;200;1127;0
6;10;80;314;0
6;10;100;366;0
6;10;120;450;0
6;10;140;556;0
6;10;200;1006;0
6;20;80;291;0
6;20;100;333;0
6;20;120;402;0
6;20;140;491;0
6;20;200;872;0
6;30;80;291;0
6;30;100;334;0
6;30;120;404;0
6;30;140;493;0
6;30;200;874;0
8;4;80;422;0
8;4;100;521;0
8;4;120;673;0
8;4;140;847;0
8;4;200;1598;0
8;6;80;373;0
8;6;100;455;0
8;6;120;574;0
8;6;140;723;0
8;6;200;1333;0
8;8;80;340;0
8;8;100;406;0
8;8;120;509;0
8;8;140;643;0
8;8;200;1153;0
8;10;80;319;0
8;10;100;373;0
8;10;120;463;0
8;10;140;572;0
8;10;200;1032;0
8;20;80;295;0
8;20;100;341;0
8;20;120;409;0
8;20;140;501;0
8;20;200;892;0
8;30;80;297;0
8;30;100;338;0
8;30;120;407;0
8;30;140;507;0
8;30;200;887;0
10;4;80;386;0
10;4;100;484;0
10;4;120;625;0
10;4;140;798;0
10;4;200;1502;0
10;6;80;348;0
10;6;100;431;0
10;6;120;542;0
10;6;140;686;0
10;6;200;1272;0
10;8;80;318;0
10;8;100;382;0
10;8;120;479;0
10;8;140;598;0
10;8;200;1094;0
10;10;80;299;0
10;10;100;354;0
10;10;120;435;0
10;10;140;538;0
10;10;200;986;0
10;20;80;278;0
10;20;100;323;0
10;20;120;398;0
10;20;140;478;0
10;20;200;851;0
10;30;80;280;0
10;30;100;323;0
10;30;120;391;0
10;30;140;479;0
10;30;200;856;0
20;4;80;329;0
20;4;100;442;0
20;4;120;595;0
20;4;140;791;0
20;4;200;1546;0
20;6;80;301;0
20;6;100;394;0
20;6;120;516;0
20;6;140;709;0
20;6;200;1390;0
20;8;80;281;0
20;8;100;349;0
20;8;120;449;0
20;8;140;584;0
20;8;200;1103;0
20;10;80;260;0
20;10;100;323;0
20;10;120;409;0
20;10;140;524;0
20;10;200;989;0
20;20;80;247;0
20;20;100;298;0
20;20;120;367;0
20;20;140;462;0
20;20;200;852;0
20;30;80;245;0
20;30;100;296;0
20;30;120;364;0
20;30;140;463;0
20;30;200;849;0
