Number Flocks;Length;Grid;Time;Flocks
4;4;80;616;579
4;4;100;754;595
4;4;120;967;625
4;4;140;1214;634
4;4;200;2189;691
4;6;80;604;54
4;6;100;745;56
4;6;120;966;61
4;6;140;1220;59
4;6;200;2172;64
4;8;80;609;5
4;8;100;749;5
4;8;120;958;7
4;8;140;1211;6
4;8;200;2183;6
4;10;80;608;0
4;10;100;748;0
4;10;120;974;0
4;10;140;1217;0
4;10;200;2181;0
4;20;80;607;0
4;20;100;750;0
4;20;120;964;0
4;20;140;1225;0
4;20;200;2201;0
4;30;80;609;0
4;30;100;753;0
4;30;120;961;0
4;30;140;1217;0
4;30;200;2178;0
6;4;80;416;10
6;4;100;513;10
6;4;120;640;12
6;4;140;817;13
6;4;200;1454;17
6;6;80;404;1
6;6;100;492;1
6;6;120;625;1
6;6;140;798;2
6;6;200;1433;2
6;8;80;403;0
6;8;100;498;0
6;8;120;635;0
6;8;140;805;0
6;8;200;1448;0
6;10;80;413;0
6;10;100;499;0
6;10;120;636;0
6;10;140;794;0
6;10;200;1448;0
6;20;80;404;0
6;20;100;496;0
6;20;120;632;0
6;20;140;795;0
6;20;200;1453;0
6;30;80;418;0
6;30;100;513;0
6;30;120;654;0
6;30;140;821;0
6;30;200;1516;0
8;4;80;406;0
8;4;100;488;0
8;4;120;622;0
8;4;140;869;0
8;4;200;1388;0
8;6;80;412;0
8;6;100;499;0
8;6;120;622;0
8;6;140;781;0
8;6;200;1362;0
8;8;80;413;0
8;8;100;508;0
8;8;120;628;0
8;8;140;786;0
8;8;200;1408;0
8;10;80;413;0
8;10;100;500;0
8;10;120;619;0
8;10;140;786;0
8;10;200;1440;0
8;20;80;410;0
8;20;100;495;0
8;20;120;617;0
8;20;140;789;0
8;20;200;1412;0
8;30;80;417;0
8;30;100;500;0
8;30;120;635;0
8;30;140;787;0
8;30;200;1388;0
10;4;80;406;0
10;4;100;495;0
10;4;120;631;0
10;4;140;789;0
10;4;200;1366;0
10;6;80;410;0
10;6;100;492;0
10;6;120;622;0
10;6;140;778;0
10;6;200;1376;0
10;8;80;472;0
10;8;100;566;0
10;8;120;715;0
10;8;140;892;0
10;8;200;1599;0
10;10;80;386;0
10;10;100;473;0
10;10;120;603;0
10;10;140;760;0
10;10;200;1380;0
10;20;80;469;0
10;20;100;571;0
10;20;120;723;0
10;20;140;904;0
10;20;200;1608;0
10;30;80;386;0
10;30;100;475;0
10;30;120;600;0
10;30;140;757;0
10;30;200;1363;0
20;4;80;338;0
20;4;100;431;0
20;4;120;580;0
20;4;140;754;0
20;4;200;1444;0
20;6;80;330;0
20;6;100;431;0
20;6;120;580;0
20;6;140;761;0
20;6;200;1428;0
20;8;80;331;0
20;8;100;436;0
20;8;120;584;0
20;8;140;761;0
20;8;200;1407;0
20;10;80;329;0
20;10;100;430;0
20;10;120;588;0
20;10;140;772;0
20;10;200;1420;0
20;20;80;328;0
20;20;100;433;0
20;20;120;583;0
20;20;140;758;0
20;20;200;1442;0
20;30;80;333;0
20;30;100;435;0
20;30;120;585;0
20;30;140;752;0
20;30;200;1404;0
