Number Flocks;Length;Grid;Time;Flocks
4;4;80;221;77
4;4;100;320;80
4;4;120;1433;134
4;4;140;2103;148
4;4;200;4123;179
4;6;80;24;20
4;6;100;34;21
4;6;120;135;27
4;6;140;246;29
4;6;200;580;29
4;8;80;7;7
4;8;100;11;7
4;8;120;28;10
4;8;140;50;9
4;8;200;125;9
4;10;80;5;2
4;10;100;9;2
4;10;120;20;3
4;10;140;32;3
4;10;200;79;4
4;20;80;5;0
4;20;100;8;0
4;20;120;18;0
4;20;140;29;0
4;20;200;71;0
4;30;80;5;0
4;30;100;8;0
4;30;120;17;0
4;30;140;28;0
4;30;200;69;0
6;4;80;142;27
6;4;100;207;27
6;4;120;1146;40
6;4;140;1795;41
6;4;200;3771;54
6;6;80;14;5
6;6;100;21;5
6;6;120;73;8
6;6;140;141;10
6;6;200;368;7
6;8;80;7;1
6;8;100;12;1
6;8;120;26;1
6;8;140;44;1
6;8;200;109;2
6;10;80;6;0
6;10;100;10;0
6;10;120;22;0
6;10;140;37;0
6;10;200;89;0
6;20;80;6;0
6;20;100;10;0
6;20;120;20;0
6;20;140;33;0
6;20;200;82;0
6;30;80;6;0
6;30;100;9;0
6;30;120;20;0
6;30;140;32;0
6;30;200;76;0
8;4;80;75;10
8;4;100;101;11
8;4;120;670;14
8;4;140;1214;15
8;4;200;2798;16
8;6;80;9;0
8;6;100;15;0
8;6;120;44;1
8;6;140;86;1
8;6;200;225;2
8;8;80;7;0
8;8;100;11;0
8;8;120;25;0
8;8;140;41;0
8;8;200;99;0
8;10;80;6;0
8;10;100;10;0
8;10;120;23;0
8;10;140;37;0
8;10;200;91;0
8;20;80;6;0
8;20;100;10;0
8;20;120;20;0
8;20;140;34;0
8;20;200;83;0
8;30;80;6;0
8;30;100;9;0
8;30;120;20;0
8;30;140;32;0
8;30;200;78;0
10;4;80;42;6
10;4;100;56;6
10;4;120;387;7
10;4;140;715;8
10;4;200;1920;8
10;6;80;8;0
10;6;100;13;0
10;6;120;34;0
10;6;140;63;0
10;6;200;162;1
10;8;80;7;0
10;8;100;11;0
10;8;120;25;0
10;8;140;40;0
10;8;200;98;0
10;10;80;6;0
10;10;100;10;0
10;10;120;22;0
10;10;140;37;0
10;10;200;89;0
10;20;80;6;0
10;20;100;9;0
10;20;120;21;0
10;20;140;34;0
10;20;200;83;0
10;30;80;6;0
10;30;100;10;0
10;30;120;20;0
10;30;140;33;0
10;30;200;78;0
20;4;80;9;0
20;4;100;14;0
20;4;120;47;0
20;4;140;100;0
20;4;200;298;0
20;6;80;6;0
20;6;100;10;0
20;6;120;24;0
20;6;140;41;0
20;6;200;98;0
20;8;80;5;0
20;8;100;9;0
20;8;120;20;0
20;8;140;34;0
20;8;200;82;0
20;10;80;5;0
20;10;100;9;0
20;10;120;19;0
20;10;140;31;0
20;10;200;76;0
20;20;80;5;0
20;20;100;8;0
20;20;120;17;0
20;20;140;28;0
20;20;200;69;0
20;30;80;5;0
20;30;100;8;0
20;30;120;16;0
20;30;140;27;0
20;30;200;68;0
