Timeslot;Thread Id;Disks;Grids;Points;Grid Contention;Disk Contention;Disks Final;Grid Time;Disk Time
0;0;488870;125;17220;3;2139;38;11051;11049
0;1;432288;121;18118;2;3174;53;11207;11205
0;2;397680;101;13007;29;2254;34;11763;11762
0;3;403911;110;16493;4;4150;40;12324;12322
0;4;406274;103;13642;2;3112;34;11456;11455
0;5;442582;100;15372;10;2772;43;11857;11855
0;6;243107;133;19358;2;5505;47;11020;11019
0;7;396612;141;18691;20;4006;46;11737;11737
0;8;386089;136;16684;13;3167;37;11774;11773
0;9;446956;135;18313;14;2744;40;12091;12090
1;0;198334;60;8914;9;2490;35;6372;6372
1;1;263582;121;15398;12;2021;47;6424;6427
1;2;259858;108;13078;8;1752;51;6631;6635
1;3;223439;123;16300;2;2359;40;6442;6441
1;4;205510;133;15824;3;2352;45;6245;6244
1;5;244072;112;13805;8;2450;41;6632;6632
1;6;220994;131;15206;6;2626;47;6260;6259
1;7;300410;106;14366;2;1542;47;6472;6471
1;8;285078;86;11377;27;1415;41;6370;6370
1;9;283779;129;17180;2;1771;51;6312;6312
2;0;146417;92;9376;6;626;44;2728;2727
2;1;142788;83;9560;7;753;45;2730;2730
2;2;68576;69;7771;7;1171;39;2761;2761
2;3;90043;82;8816;3;1401;33;2740;2740
2;4;133185;140;14412;16;749;55;2735;2734
2;5;112603;98;8425;17;947;31;2757;2756
2;6;105075;127;12321;1;1206;35;2801;2800
2;7;97097;140;12603;13;1155;46;2735;2735
2;8;140624;115;11481;14;677;49;2726;2726
2;9;93592;116;11456;8;1160;27;2762;2761
3;0;104394;62;5034;3;554;30;2118;2131
3;1;104913;78;6537;3;490;33;2075;2080
3;2;107529;84;6871;5;615;45;2083;2089
3;3;113790;97;8472;3;301;42;2037;2036
3;4;63033;122;8970;18;818;32;2037;2036
3;5;89368;91;8187;30;557;37;2051;2050
3;6;120248;91;7366;2;391;35;2110;2115
3;7;101938;137;10058;2;570;44;2058;2057
3;8;105685;152;12799;8;522;49;2035;2034
