Timeslot;All Disks;After Merge;Flocks;Flocks After Merging;Flocks After Reporting;Grid Contention;Disk Contention;Total EG;Total Points;Grid Time;Disk Time;Processing Time;Disk Processing Time;Total Threads Time
0;4044369;75;0;75;75;99;33023;1205;166898;116280;116267;12327;73;116284
1;2485056;83;75;110;110;79;20778;1109;141448;64160;64163;6640;28;64171
2;1130000;73;110;95;95;92;9845;1062;106221;27475;27470;2804;107;27478
3;990145;70;95;88;88;76;5237;997;80369;20641;20665;2134;10;20678
4;649180;70;88;110;110;102;2074;905;58913;11967;11978;1238;72;12001
5;323012;69;110;103;103;35;1539;858;45317;5917;5947;658;116;5966
6;167008;66;103;85;85;91;965;817;37143;3034;3026;311;0;3039
7;84885;45;85;55;55;52;726;756;29405;1672;1662;175;0;1674
8;45800;26;55;32;32;67;534;712;24869;908;901;95;0;909
9;36186;20;32;28;28;55;448;665;23068;815;810;87;0;816
10;18645;13;28;17;17;32;353;678;21651;557;550;61;0;560
11;21818;11;17;14;14;84;379;621;20319;591;586;63;0;593
12;17354;10;14;10;10;46;359;623;19631;504;495;53;0;505
13;3137;4;10;5;5;55;292;621;18873;327;321;36;0;328
14;250;1;5;1;1;54;245;642;19018;255;250;27;0;256
15;0;0;1;0;0;42;222;640;17947;227;222;24;0;231
16;0;0;0;0;0;45;225;621;16880;233;225;26;0;236
17;0;0;0;0;0;49;205;629;16065;211;205;24;0;213
18;784;1;0;1;1;41;206;592;16316;225;216;25;0;228
19;6352;3;1;3;3;43;194;595;14882;231;229;25;0;231
20;2866;4;3;4;4;28;147;561;13367;182;177;21;0;182
21;33;1;4;1;1;42;143;558;13570;156;149;18;0;159
22;1203;1;1;1;1;42;160;604;14430;175;169;20;0;180
23;2769;1;1;2;2;28;145;571;14269;181;154;20;0;186
24;0;0;2;0;0;22;170;582;14322;178;170;20;0;180
25;1662;3;0;3;3;28;171;556;13745;204;201;22;0;206
26;3071;3;3;3;3;29;166;558;14244;196;192;22;0;201
27;0;0;3;0;0;31;182;561;14960;190;182;21;0;190
28;0;0;0;0;0;30;221;579;14521;235;221;29;0;270
29;1228;2;0;2;2;46;167;572;14070;186;181;21;0;189
30;0;0;2;0;0;34;179;553;14100;186;179;20;0;186
31;1165;2;0;2;2;25;184;534;13713;201;197;23;0;206
32;9438;7;2;7;7;49;199;534;13655;272;259;32;0;275
33;16006;8;7;9;9;48;201;530;14020;361;353;39;0;367
34;14158;7;9;8;8;52;212;587;14791;284;280;34;0;287
35;8017;6;8;9;9;68;248;567;15161;314;306;33;0;318
36;3119;2;9;3;3;53;190;560;14624;218;212;24;0;220
37;2653;5;3;6;6;38;204;548;13578;226;223;25;0;231
38;12822;5;6;5;5;21;194;545;13698;270;265;30;0;273
39;8336;4;5;6;6;64;210;575;14919;252;248;28;0;253
40;2110;3;6;3;3;57;222;520;15133;253;243;28;0;258
41;4133;4;3;4;4;39;163;558;15759;204;198;22;0;205
42;7363;6;4;7;7;34;188;587;16001;253;243;27;0;254
43;7536;4;7;6;6;78;256;553;15617;313;305;36;0;316
44;5798;4;6;6;6;49;265;549;15770;301;293;32;0;302
45;439;3;6;3;3;39;214;537;14574;231;226;28;0;233
46;2399;2;3;2;2;51;192;564;14799;205;202;22;0;209
47;0;0;2;0;0;55;191;534;13885;199;191;23;0;199
48;0;0;0;0;0;33;172;551;13411;174;172;20;0;176
49;128;1;0;1;1;49;157;542;13245;174;168;19;0;179
50;915;1;1;1;1;49;189;530;13527;208;202;23;0;211
51;0;0;1;0;0;48;188;560;13769;195;188;22;0;196
52;0;0;0;0;0;35;167;570;13628;173;167;20;0;176
53;1662;2;0;2;2;45;218;564;14161;244;236;27;0;246
54;753;1;2;1;1;37;160;591;14172;173;167;20;0;175
55;0;0;1;0;0;34;147;566;13470;153;147;18;0;155
56;192;1;0;1;1;31;149;556;13238;158;153;18;0;160
57;1192;2;1;2;2;46;169;526;12721;187;182;21;0;192
58;0;0;2;0;0;35;168;531;13070;173;168;20;0;174
59;0;0;0;0;0;40;179;564;13881;180;179;20;0;182
60;0;0;0;0;0;44;189;562;14003;196;189;23;0;198
61;6890;1;0;1;1;25;176;534;13555;257;249;34;0;268
62;100;1;1;1;1;36;201;547;14204;214;211;24;0;215
63;0;0;1;0;0;55;226;560;14587;236;226;26;0;240
64;336;1;0;1;1;27;173;553;14586;185;180;20;0;186
65;0;0;1;0;0;46;193;556;14426;198;193;22;0;204
66;3570;2;0;2;2;46;195;573;14417;225;222;24;0;226
67;3878;2;2;2;2;47;200;563;14256;232;225;25;0;237
68;2244;1;2;1;1;56;227;546;13773;255;251;28;0;257
69;0;0;1;0;0;15;231;547;13730;240;231;27;0;244
70;1147;3;0;3;3;32;160;590;15067;198;193;22;7;201
71;8947;1;3;1;1;81;269;602;14553;333;337;46;0;380
72;10596;2;1;2;2;61;183;577;15063;264;260;34;0;267
73;9292;3;2;3;3;62;191;584;14829;240;236;26;0;245
74;694;3;3;3;3;23;149;570;14347;169;158;19;0;172
75;719;1;3;1;1;52;178;572;14875;186;185;20;0;192
76;32;1;1;1;1;29;182;583;15289;192;186;22;0;195
77;9356;3;1;3;3;44;206;584;15049;256;251;28;0;258
78;3505;2;3;3;3;44;199;536;13849;229;220;27;0;230
79;974;2;3;2;2;44;229;554;14743;247;240;28;0;248
80;854;2;2;2;2;41;222;555;14419;238;234;26;0;246
81;7969;3;2;3;3;77;251;534;13627;308;310;39;0;362
82;11169;6;3;7;7;65;208;528;13658;300;292;33;0;302
83;3173;2;7;2;2;48;167;591;14423;208;201;23;0;214
84;2616;2;2;2;2;77;225;580;14803;258;252;33;0;294
85;475;1;2;1;1;45;192;591;14866;205;200;24;0;207
86;1505;2;1;2;2;53;247;572;14922;263;257;28;0;265
87;12048;4;2;5;5;64;227;583;15359;299;296;34;0;302
88;5919;4;5;4;4;47;209;609;15613;253;248;29;0;254
89;48;1;4;1;1;56;266;572;15519;276;270;30;0;277
90;2012;2;1;2;2;46;202;575;14858;219;214;25;0;220
91;3088;2;2;2;2;38;166;571;14408;196;191;24;0;201
92;596;1;2;1;1;58;202;585;15084;241;237;29;0;245
93;0;0;1;0;0;36;165;558;13784;169;165;20;0;172
94;0;0;0;0;0;30;112;556;13959;116;112;13;0;118
95;0;0;0;0;0;19;108;579;14201;113;108;14;0;118
96;0;0;0;0;0;18;92;560;13247;97;92;12;0;101
97;0;0;0;0;0;20;99;547;13197;102;99;15;0;121
98;0;0;0;0;0;37;110;567;13104;112;110;16;0;138
99;0;0;0;0;0;20;102;564;13092;110;102;13;0;116
100;0;0;0;0;0;7;20;67;329;24;20;5;0;31
