Timestamp;Memory;Disks;Flocks
9836340;3170304;0;0
9836341;3616768;0;0
9836342;3764224;0;0
9836343;3764224;0;0
9836344;3764224;0;0
9836345;4288512;0;0
9836346;4595712;0;0
9836347;4595712;0;0
9836348;5021696;0;0
9836349;5099520;0;0
9836350;5693440;0;0
9836351;5935104;0;0
9836352;6385664;0;0
9836353;6459392;0;0
9836354;6541312;0;0
9836355;6541312;0;0
9836356;6541312;0;0
9836357;6582272;0;0
9836358;6721536;0;0
9836359;6897664;0;0
9836360;6897664;0;0
9836361;7610368;0;0
9836362;8331264;0;0
9836363;9084928;0;0
9836364;9084928;0;0
9836365;9621504;0;0
9836366;9621504;0;0
9836367;9621504;0;0
9836368;9633792;0;0
9836369;9666560;0;0
9836370;9883648;0;0
9836371;10752000;0;0
9836372;10752000;0;0
9836373;10776576;0;0
9836374;10944512;0;0
9836375;10993664;1;1
9836376;11333632;1;1
9836377;11751424;0;0
9836378;12128256;1;1
9836379;12320768;2;2
9836380;12357632;3;4
9836381;13303808;2;3
9836382;13864960;1;1
9836383;13987840;2;2
9836384;14180352;4;4
9836385;14180352;3;3
9836386;14823424;3;3
9836387;14897152;2;2
9836388;15073280;2;4
9836389;15425536;4;4
9836390;15728640;3;5
9836391;15769600;4;5
9836392;16162816;0;0
9836393;16203776;0;0
9836394;16650240;1;1
9836395;16986112;0;0
9836396;17670144;0;0
9836397;17801216;1;1
9836398;17809408;0;0
9836399;17960960;1;1
9836400;18132992;2;2
9836401;18132992;3;4
9836402;18350080;4;5
9836403;18694144;3;3
9836404;18722816;1;1
9836405;18722816;1;1
9836406;18722816;1;1
9836407;18796544;0;0
9836408;18804736;0;0
9836409;18804736;1;1
9836410;18804736;3;3
9836411;18804736;1;1
9836412;18804736;6;6
9836413;18948096;4;4
9836414;18964480;1;1
9836415;18964480;2;2
9836416;18964480;3;3
9836417;18964480;0;0
9836418;18964480;1;1
9836419;19017728;2;2
9836420;19017728;7;8
9836421;19017728;4;4
9836422;19017728;3;3
9836423;19017728;3;3
9836424;19017728;3;3
9836425;19017728;1;1
9836426;19017728;1;1
9836427;19017728;0;0
9836428;19017728;0;0
9836429;19017728;0;0
9836430;19017728;1;1
9836431;19017728;1;1
9836432;19017728;0;0
9836433;19017728;0;0
9836434;19017728;0;0
9836435;19017728;0;0
9836436;19017728;0;0
9836437;19017728;1;1
9836438;19017728;1;1
9836439;19017728;0;0
9836440;19017728;0;0
9836441;19017728;0;0
9836442;19017728;0;0
9836443;19017728;0;0
9836444;19017728;0;0
9836445;19017728;0;0
9836446;19017728;0;0
9836447;19017728;0;0
9836448;19017728;0;0
9836449;19017728;0;0
9836450;19017728;0;0
9836451;19017728;0;0
9836452;19017728;0;0
9836453;19017728;0;0
9836454;19017728;0;0
9836455;19017728;0;0
9836456;19017728;0;0
9836457;19017728;0;0
9836458;19017728;0;0
9836459;19017728;0;0
9836460;19017728;0;0
9836461;19017728;0;0
9836462;19017728;0;0
9836463;19017728;0;0
9836464;19017728;0;0
9836465;19017728;0;0
9836466;19017728;0;0
9836467;19017728;0;0
9836468;19017728;0;0
9836469;19017728;0;0
9836470;19017728;0;0
9836471;19017728;0;0
9836472;19017728;0;0
9836473;19017728;0;0
9836474;19017728;0;0
9836475;19017728;0;0
9836580;15872000;0;0
9836581;15872000;0;0
9836582;15872000;0;0
9836583;15872000;0;0
9836584;15872000;0;0
9836585;15872000;0;0
9836586;15872000;0;0
9836587;15872000;0;0
9836588;15872000;0;0
9836589;15872000;0;0
9836590;15872000;0;0
9836591;15872000;0;0
9836592;15872000;0;0
9836593;15872000;0;0
9836594;15872000;0;0
9836595;15872000;0;0
9836596;15872000;0;0
9836597;15872000;0;0
9836598;15872000;0;0
9836599;15872000;0;0
9836600;15872000;0;0
9836601;15872000;0;0
9836602;15872000;0;0
9836603;15872000;0;0
9836604;15872000;0;0
9836605;15872000;0;0
9836606;15872000;0;0
9836607;15872000;0;0
9836608;15872000;0;0
9836609;15872000;0;0
9836610;15872000;0;0
9836611;15872000;0;0
9836612;15872000;0;0
9836613;15872000;0;0
9836614;15872000;0;0
9836615;15872000;0;0
9836616;15872000;0;0
9836617;15872000;0;0
9836618;15872000;0;0
9836619;15872000;0;0
9836620;15872000;0;0
9836621;15937536;1;1
9836622;16556032;3;3
9836623;16961536;6;7
9836624;16961536;3;4
9836625;16961536;3;4
9836626;16961536;2;2
9836627;16961536;3;3
9836628;16961536;1;1
9836629;16961536;0;0
9836630;17231872;1;1
9836631;17305600;3;3
9836632;18116608;4;4
9836633;18436096;2;2
9836634;18452480;4;4
9836635;19214336;8;9
9836636;19214336;8;8
9836637;19582976;9;10
9836638;19779584;11;15
9836639;20062208;6;9
9836640;20262912;6;8
9836641;20373504;7;8
9836642;20373504;5;7
9836643;20373504;1;1
9836644;20373504;4;4
9836645;20373504;3;3
9836646;20373504;3;3
9836647;20373504;1;1
9836648;20606976;1;1
9836649;20606976;1;1
9836650;20606976;2;2
9836651;20606976;0;0
9836652;20635648;0;0
9836653;20639744;1;1
9836654;20725760;1;1
9836655;20754432;3;3
9836656;20754432;4;4
9836657;20754432;5;5
9836658;20754432;3;3
9836659;20754432;3;3
9836660;20754432;3;4
9836661;20754432;3;7
9836662;20754432;2;6
9836663;20754432;2;3
9836664;20754432;2;3
9836665;20754432;0;0
9836666;20754432;0;0
9836667;20754432;0;0
9836668;20754432;0;0
9836669;20754432;0;0
9836670;20754432;0;0
9836671;20754432;0;0
9836672;20754432;0;0
9836673;20754432;0;0
9836674;20754432;0;0
9836675;20754432;0;0
9836676;20754432;0;0
9836677;20754432;0;0
9836678;20754432;4;4
9836679;20754432;0;0
9836680;20754432;0;0
9836681;20754432;0;0
9836682;20754432;0;0
9836683;20754432;0;0
9836684;20754432;0;0
9836685;20754432;0;0
9836686;20754432;0;0
9836687;20754432;0;0
9836688;20754432;0;0
9836689;20754432;0;0
9836690;20754432;0;0
9836691;20754432;0;0
9836692;20754432;0;0
9836693;20754432;0;0
9836694;20754432;0;0
9836695;20754432;0;0
9836696;20754432;0;0
9836697;20754432;0;0
9836698;20754432;0;0
9836699;20754432;0;0
9836700;20754432;0;0
9836701;20754432;1;1
9836702;20754432;1;1
9836703;20754432;1;1
9836704;20754432;1;1
9836705;20754432;1;1
9836706;20754432;0;0
9836707;20754432;0;0
9836708;20754432;0;0
9836709;20754432;0;0
9836710;20754432;0;0
9836711;20754432;0;0
9836712;20754432;0;0
9836713;20754432;0;0
9836714;20754432;0;0
9836715;20754432;0;0
9836716;20754432;0;0
9836717;20754432;0;0
9836760;17608704;0;0
9836761;17608704;0;0
9836762;17608704;0;0
9836763;17608704;0;0
9836764;17608704;0;0
9836765;17608704;0;0
9836766;17608704;0;0
9836767;17608704;0;0
9836768;17608704;0;0
9836769;17608704;0;0
9836770;17608704;0;0
9836771;17608704;0;0
9836772;17608704;0;0
9836773;17608704;0;0
9836774;17608704;0;0
9836775;17608704;0;0
9836776;17608704;0;0
9836777;17608704;0;0
9836778;17608704;0;0
9836779;17608704;0;0
9836780;17608704;0;0
9836781;17608704;0;0
9836782;17608704;0;0
9836783;17608704;0;0
9836784;17608704;0;0
9836785;17608704;0;0
9836786;17608704;0;0
9836787;17608704;0;0
9836788;17608704;0;0
9836789;17608704;0;0
9836790;17608704;0;0
9836791;17608704;0;0
9836792;17608704;0;0
9836793;17608704;0;0
9836794;17608704;0;0
9836795;17608704;0;0
9836796;17608704;0;0
9836797;17608704;0;0
9836798;17608704;0;0
9836799;17608704;0;0
9836800;17608704;0;0
9836801;17608704;0;0
9836802;17608704;0;0
9836803;17608704;0;0
9836804;17608704;0;0
9836805;17608704;0;0
9836806;17608704;0;0
9836807;17608704;0;0
9836808;17608704;0;0
9836809;17608704;0;0
9836810;17608704;0;0
9836811;17608704;0;0
9836812;17608704;0;0
9836813;17608704;0;0
9836814;17608704;0;0
9836815;17608704;0;0
9836816;17608704;0;0
9836817;17608704;0;0
9836818;17608704;0;0
9836819;17608704;0;0
9836820;17608704;0;0
9836821;17608704;0;0
9836822;17608704;0;0
9836823;17608704;0;0
9836824;17608704;0;0
9836825;17608704;0;0
9836826;17608704;0;0
9836827;17608704;0;0
9836828;17608704;0;0
9836829;17608704;0;0
9836830;17608704;0;0
9836831;17608704;0;0
9836832;17608704;0;0
9836833;17608704;0;0
9836834;17608704;0;0
9836835;17608704;0;0
9836836;17608704;0;0
9836837;17608704;0;0
9836838;17608704;0;0
9836839;17608704;0;0
9836840;17608704;0;0
9836841;17608704;0;0
9836842;17608704;0;0
9836843;17608704;0;0
9836844;17608704;0;0
9836845;17608704;0;0
9836846;17608704;0;0
9836847;17608704;0;0
9836848;17608704;0;0
9836849;17608704;0;0
9836850;17608704;0;0
9836851;17608704;0;0
9836852;17608704;0;0
9836853;17608704;0;0
9836854;17608704;0;0
9836855;17608704;0;0
9836856;17608704;0;0
9836857;17608704;0;0
9836858;17608704;0;0
9836859;17608704;0;0
9836860;17608704;0;0
9836861;17608704;0;0
9836862;17608704;0;0
9836863;17608704;0;0
9836864;17608704;0;0
9836865;17608704;0;0
9836866;17608704;0;0
9836867;17608704;0;0
9836868;17608704;0;0
9836869;17608704;0;0
9836870;17608704;0;0
9836871;17608704;0;0
9836872;17608704;0;0
9836873;17608704;0;0
9836874;17608704;0;0
9836875;17608704;0;0
9836876;17608704;0;0
9836877;17608704;0;0
9836878;17608704;0;0
9836879;17608704;0;0
9836880;17608704;0;0
9836881;17608704;0;0
9836882;17608704;0;0
9836883;17608704;0;0
9836884;17608704;0;0
9836885;17608704;0;0
9836886;17608704;0;0
9836887;17608704;0;0
9836888;17608704;0;0
9836889;17608704;0;0
9836890;17608704;0;0
9836891;17608704;0;0
9836892;17608704;0;0
9836893;17608704;0;0
9836894;17608704;0;0
9836895;17608704;0;0
9836896;17608704;0;0
9836897;17608704;0;0
9836898;17608704;0;0
9836899;17608704;0;0
9836900;17608704;0;0
9836901;17608704;0;0
9836902;17608704;0;0
9836903;17608704;0;0
9836904;17608704;0;0
9837060;17608704;0;0
9837061;17608704;0;0
9837062;17608704;0;0
9837063;17608704;0;0
9837064;17608704;0;0
9837065;17608704;0;0
9837066;17608704;0;0
9837067;17608704;0;0
9837068;17608704;0;0
9837069;17608704;0;0
9837070;17608704;0;0
9837071;17608704;0;0
9837072;17608704;0;0
9837073;17608704;0;0
9837074;17608704;0;0
9837075;17608704;0;0
9837076;17608704;0;0
9837077;17608704;0;0
9837078;17608704;0;0
9837079;17608704;0;0
9837080;17608704;0;0
9837081;17608704;0;0
9837082;17608704;0;0
9837083;17608704;0;0
9837084;17608704;0;0
9837085;17608704;0;0
9837086;17608704;0;0
9837087;17608704;0;0
9837088;17608704;0;0
9837089;17608704;0;0
9837090;17608704;0;0
9837091;17608704;0;0
9837092;17608704;0;0
9837093;17608704;0;0
9837094;17608704;0;0
9837095;17608704;0;0
9837096;17608704;0;0
9837097;17608704;1;1
9837098;17608704;2;2
9837099;17608704;1;2
9837100;17608704;1;1
9837101;17608704;1;1
9837102;17608704;2;2
9837103;17608704;2;2
9837104;17608704;2;2
9837105;17608704;0;0
9837106;17608704;0;0
9837107;17608704;0;0
9837108;17608704;2;2
9837109;17608704;0;0
9837110;17674240;1;1
9837111;18718720;1;1
9837112;19410944;1;1
9837113;19554304;1;1
9837114;19705856;0;0
9837115;19705856;1;1
9837116;19705856;1;1
9837117;19705856;5;5
9837118;19705856;8;8
9837119;19705856;6;6
9837120;19705856;1;1
9837121;19705856;1;1
9837122;19705856;0;0
9837123;19705856;2;2
9837124;19705856;1;1
9837125;19705856;0;0
9837126;19705856;1;1
9837127;19705856;1;1
9837128;19705856;1;1
9837129;19705856;4;4
9837130;19705856;5;5
9837131;19705856;3;4
9837132;19705856;1;1
9837133;19705856;1;1
9837134;19705856;1;2
9837135;19705856;2;2
9837136;19705856;1;1
9837137;19705856;0;0
9837138;19705856;2;2
9837139;19705856;1;1
9837140;19705856;4;4
9837141;19705856;2;2
9837142;19705856;2;2
9837143;19705856;2;2
9837144;19705856;4;5
9837145;19705856;3;4
9837146;19705856;3;3
9837147;19705856;0;0
9837148;19705856;0;0
9837149;19705856;0;0
9837150;19705856;1;1
9837151;19705856;2;2
9837152;19705856;2;2
9837153;19705856;1;1
9837154;19705856;0;0
9837155;19705856;0;0
9837156;19705856;0;0
9837157;19705856;0;0
9837158;19705856;1;1
9837159;19705856;0;0
9837160;19705856;0;0
9837161;19705856;0;0
9837162;19705856;0;0
9837163;19705856;0;0
9837164;19705856;0;0
9837165;19705856;0;0
9837166;19705856;0;0
9837167;19705856;0;0
9837168;19705856;0;0
9837169;19705856;0;0
9837170;19705856;0;0
9837171;19705856;0;0
9837172;19705856;0;0
9837173;19705856;0;0
9837174;19705856;0;0
9837175;19705856;0;0
9837176;19705856;0;0
9837177;19705856;0;0
9837178;19705856;0;0
9837179;19705856;0;0
9837180;19705856;0;0
9837181;19705856;0;0
9837182;19705856;0;0
9837183;19705856;0;0
9837184;19705856;0;0
9837185;19705856;0;0
9837186;19705856;0;0
9837187;19705856;0;0
9837188;19705856;0;0
9837189;19705856;0;0
9837190;19705856;0;0
9837191;19705856;0;0
9837192;19705856;0;0
9837193;19705856;0;0
9837300;17608704;0;0
9837301;17608704;0;0
9837302;17608704;0;0
9837303;17608704;0;0
9837304;17608704;0;0
9837305;17608704;0;0
9837306;17608704;0;0
9837307;17608704;0;0
9837308;17608704;0;0
9837309;17608704;0;0
9837310;17608704;0;0
9837311;17608704;0;0
9837312;17608704;0;0
9837313;17608704;0;0
9837314;17608704;0;0
9837315;17608704;0;0
9837316;17608704;0;0
9837317;17608704;0;0
9837318;17608704;0;0
9837319;17608704;0;0
9837320;17608704;0;0
9837321;17608704;0;0
9837322;17608704;0;0
9837323;17608704;0;0
9837324;17608704;0;0
9837325;17608704;0;0
9837326;17608704;0;0
9837327;17608704;0;0
9837328;17608704;0;0
9837329;17608704;0;0
9837330;17608704;1;1
9837331;17608704;0;0
9837332;17608704;0;0
9837333;17608704;0;0
9837334;17608704;0;0
9837335;17608704;0;0
9837336;17608704;0;0
9837337;17608704;0;0
9837338;17608704;0;0
9837339;17608704;0;0
9837340;17608704;0;0
9837341;17608704;0;0
9837342;17608704;0;0
9837343;17608704;1;1
9837344;17608704;3;3
9837345;17608704;5;5
9837346;17608704;2;2
9837347;17678336;2;2
9837348;17678336;2;2
9837349;18657280;1;1
9837350;18657280;3;4
9837351;18657280;1;2
9837352;18657280;1;1
9837353;18657280;4;4
9837354;18657280;4;5
9837355;18657280;3;3
9837356;18657280;4;6
9837357;18657280;4;4
9837358;18706432;1;1
9837359;19705856;1;1
9837360;19705856;0;0
9837361;19705856;3;3
9837362;19705856;1;1
9837363;19705856;0;0
9837364;19705856;1;1
9837365;19705856;0;0
9837366;19705856;2;2
9837367;19705856;3;3
9837368;19705856;5;5
9837369;19705856;9;10
9837370;19705856;7;7
9837371;19705856;5;5
9837372;19705856;4;5
9837373;19705856;0;0
9837374;19705856;0;0
9837375;19705856;0;0
9837376;19705856;0;0
9837377;19705856;0;0
9837378;19705856;0;0
9837379;19705856;0;0
9837380;19705856;0;0
9837381;19705856;0;0
9837382;19705856;1;1
9837383;19705856;2;2
9837384;19705856;2;3
9837385;19705856;1;1
9837386;19705856;1;1
9837387;19705856;1;1
9837388;19705856;2;2
9837389;19705856;0;0
9837390;19705856;0;0
9837391;19705856;1;1
9837392;19705856;0;0
9837393;19705856;3;3
9837394;19705856;0;0
9837395;19705856;0;0
9837396;19705856;2;2
9837397;19705856;0;0
9837398;19705856;0;0
9837399;19705856;0;0
9837400;19705856;0;0
9837401;19705856;0;0
9837402;19705856;0;0
9837403;19705856;0;0
9837404;19705856;0;0
