Timestamp;Memory;Disks;Flocks
9836340;1208320;0;0
9836341;1458176;0;0
9836342;1835008;0;0
9836343;1982464;0;0
9836344;1990656;0;0
9836345;1994752;1;1
9836346;1994752;0;0
9836347;2166784;0;0
9836348;2166784;0;0
9836349;2166784;1;1
9836350;2187264;0;0
9836351;2404352;0;0
9836352;2453504;0;0
9836353;2457600;0;0
9836354;2486272;2;2
9836355;2519040;0;0
9836356;2699264;2;2
9836357;2723840;2;2
9836358;2723840;0;0
9836359;2732032;0;0
9836360;2805760;1;1
9836361;2830336;1;1
9836362;2854912;3;3
9836363;2994176;3;3
9836364;3031040;3;3
9836365;3031040;4;4
9836366;3039232;1;1
9836367;3141632;3;3
9836368;3162112;10;10
9836369;3223552;9;9
9836370;3403776;7;7
9836371;3522560;4;4
9836372;3526656;6;6
9836373;3731456;6;6
9836374;3842048;6;6
9836375;3842048;9;9
9836376;3854336;10;11
9836377;3940352;14;15
9836378;4059136;17;18
9836379;4567040;10;12
9836380;5517312;15;16
9836381;5521408;20;21
9836382;5607424;25;26
9836383;5640192;22;24
9836384;5668864;31;35
9836385;5693440;28;30
9836386;5722112;26;26
9836387;5722112;22;22
9836388;5746688;29;33
9836389;5746688;34;37
9836390;5840896;26;31
9836391;5877760;22;23
9836392;5877760;24;27
9836393;5877760;24;28
9836394;5926912;42;47
9836395;5926912;30;32
9836396;5926912;31;33
9836397;5959680;36;37
9836398;5976064;31;32
9836399;5976064;40;42
9836400;5976064;43;46
9836401;6008832;41;47
9836402;6008832;45;50
9836403;6090752;48;57
9836404;6090752;43;52
9836405;6500352;51;59
9836406;6529024;34;36
9836407;6529024;32;35
9836408;6529024;33;36
9836409;6529024;37;38
9836410;6529024;35;36
9836411;6529024;40;42
9836412;6529024;35;38
9836413;6529024;39;41
9836414;6529024;36;38
9836415;6529024;37;39
9836416;6529024;41;46
9836417;6529024;33;35
9836418;6529024;33;35
9836419;6529024;36;41
9836420;6529024;40;47
9836421;6529024;35;38
9836422;6529024;25;28
9836423;6529024;27;31
9836424;6529024;22;25
9836425;6529024;27;27
9836426;6529024;19;21
9836427;6529024;13;14
9836428;6529024;14;14
9836429;6529024;11;11
9836430;6529024;10;10
9836431;6529024;12;12
9836432;6529024;7;7
9836433;6529024;13;14
9836434;6529024;13;16
9836435;6529024;12;12
9836436;6529024;9;9
9836437;6529024;13;13
9836438;6529024;13;16
9836439;6529024;13;14
9836440;6529024;10;11
9836441;6529024;13;13
9836442;6529024;12;12
9836443;6529024;6;6
9836444;6529024;3;3
9836445;6529024;6;6
9836446;6529024;5;5
9836447;6529024;4;4
9836448;6529024;0;0
9836449;6529024;1;1
9836450;6529024;3;3
9836451;6529024;1;1
9836452;6529024;0;0
9836453;6529024;1;1
9836454;6529024;1;1
9836455;6529024;1;1
9836456;6529024;2;2
9836457;6529024;2;2
9836458;6529024;2;3
9836459;6529024;1;2
9836460;6529024;3;3
9836461;6529024;1;1
9836462;6529024;3;3
9836463;6529024;3;3
9836464;6529024;3;3
9836465;6529024;1;1
9836466;6529024;1;1
9836467;6529024;0;0
9836468;6529024;0;0
9836469;6529024;0;0
9836470;6529024;0;0
9836471;6529024;0;0
9836472;6529024;0;0
9836473;6529024;0;0
9836474;6529024;0;0
9836475;6529024;0;0
9836580;6529024;0;0
9836581;6529024;0;0
9836582;6529024;0;0
9836583;6529024;0;0
9836584;6529024;2;2
9836585;6529024;4;4
9836586;6529024;0;0
9836587;6529024;0;0
9836588;6529024;0;0
9836589;6529024;0;0
9836590;6529024;1;1
9836591;6529024;0;0
9836592;6529024;0;0
9836593;6529024;0;0
9836594;6529024;0;0
9836595;6529024;0;0
9836596;6529024;0;0
9836597;6529024;0;0
9836598;6529024;0;0
9836599;6529024;0;0
9836600;6529024;0;0
9836601;6529024;2;2
9836602;6529024;3;3
9836603;6529024;4;4
9836604;6529024;4;4
9836605;6529024;2;2
9836606;6529024;5;5
9836607;6529024;3;3
9836608;6529024;7;7
9836609;6529024;4;4
9836610;6529024;7;7
9836611;6529024;5;5
9836612;6529024;5;5
9836613;6529024;10;10
9836614;6529024;11;11
9836615;6529024;13;13
9836616;6529024;8;8
9836617;6529024;14;14
9836618;6529024;15;15
9836619;6529024;13;13
9836620;6529024;14;15
9836621;6529024;22;23
9836622;6529024;24;24
9836623;6529024;38;39
9836624;6529024;25;26
9836625;6529024;32;34
9836626;6529024;20;21
9836627;6529024;31;32
9836628;6529024;39;44
9836629;6569984;42;45
9836630;6569984;35;38
9836631;6569984;43;46
9836632;6569984;42;47
9836633;6569984;48;52
9836634;6569984;55;57
9836635;6569984;51;57
9836636;6569984;51;54
9836637;6569984;54;57
9836638;6733824;51;60
9836639;6733824;35;44
9836640;6733824;42;47
9836641;6733824;37;45
9836642;6733824;45;49
9836643;6733824;33;37
9836644;6733824;40;42
9836645;6733824;44;46
9836646;6733824;43;50
9836647;6733824;39;49
9836648;6733824;43;47
9836649;6733824;36;38
9836650;6758400;38;43
9836651;6758400;39;42
9836652;6758400;44;46
9836653;6758400;32;33
9836654;6758400;34;35
9836655;6758400;46;50
9836656;6758400;34;40
9836657;6758400;31;37
9836658;6758400;29;30
9836659;6758400;21;21
9836660;6758400;28;31
9836661;6758400;20;25
9836662;6758400;21;30
9836663;6758400;30;35
9836664;6758400;22;26
9836665;6758400;17;18
9836666;6758400;9;9
9836667;6758400;10;10
9836668;6758400;11;11
9836669;6758400;11;11
9836670;6758400;14;14
9836671;6758400;13;13
9836672;6758400;13;13
9836673;6758400;14;14
9836674;6758400;11;11
9836675;6758400;12;12
9836676;6758400;7;7
9836677;6758400;12;12
9836678;6758400;7;7
9836679;6758400;8;8
9836680;6758400;8;9
9836681;6758400;11;11
9836682;6758400;6;8
9836683;6758400;9;9
9836684;6758400;5;6
9836685;6758400;2;3
9836686;6758400;0;0
9836687;6758400;3;3
9836688;6758400;2;3
9836689;6758400;3;4
9836690;6758400;1;1
9836691;6758400;2;2
9836692;6758400;2;2
9836693;6758400;1;1
9836694;6758400;0;0
9836695;6758400;1;1
9836696;6758400;1;1
9836697;6758400;0;0
9836698;6758400;0;0
9836699;6758400;0;0
9836700;6758400;0;0
9836701;6758400;2;2
9836702;6758400;2;2
9836703;6758400;3;4
9836704;6758400;2;2
9836705;6758400;2;2
9836706;6758400;0;0
9836707;6758400;0;0
9836708;6758400;0;0
9836709;6758400;0;0
9836710;6758400;0;0
9836711;6758400;1;1
9836712;6758400;0;0
9836713;6758400;0;0
9836714;6758400;0;0
9836715;6758400;0;0
9836716;6758400;0;0
9836717;6758400;0;0
9836760;6758400;0;0
9836761;6758400;0;0
9836762;6758400;0;0
9836763;6758400;0;0
9836764;6758400;0;0
9836765;6758400;0;0
9836766;6758400;0;0
9836767;6758400;0;0
9836768;6758400;0;0
9836769;6758400;0;0
9836770;6758400;1;1
9836771;6758400;0;0
9836772;6758400;0;0
9836773;6758400;0;0
9836774;6758400;0;0
9836775;6758400;0;0
9836776;6758400;0;0
9836777;6758400;1;1
9836778;6758400;0;0
9836779;6758400;0;0
9836780;6758400;0;0
9836781;6758400;0;0
9836782;6758400;0;0
9836783;6758400;0;0
9836784;6758400;0;0
9836785;6758400;0;0
9836786;6758400;1;1
9836787;6758400;0;0
9836788;6758400;0;0
9836789;6758400;1;1
9836790;6758400;0;0
9836791;6758400;0;0
9836792;6758400;0;0
9836793;6758400;0;0
9836794;6758400;0;0
9836795;6758400;2;2
9836796;6758400;0;0
9836797;6758400;0;0
9836798;6758400;0;0
9836799;6758400;1;1
9836800;6758400;2;2
9836801;6758400;0;0
9836802;6758400;5;5
9836803;6758400;2;2
9836804;6758400;1;1
9836805;6758400;3;3
9836806;6758400;1;1
9836807;6758400;2;2
9836808;6758400;1;1
9836809;6758400;0;0
9836810;6758400;0;0
9836811;6758400;0;0
9836812;6758400;0;0
9836813;6758400;0;0
9836814;6758400;0;0
9836815;6758400;1;1
9836816;6758400;0;0
9836817;6758400;0;0
9836818;6758400;0;0
9836819;6758400;0;0
9836820;6758400;0;0
9836821;6758400;0;0
9836822;6758400;1;1
9836823;6758400;0;0
9836824;6758400;0;0
9836825;6758400;0;0
9836826;6758400;0;0
9836827;6758400;1;1
9836828;6758400;1;1
9836829;6758400;0;0
9836830;6758400;0;0
9836831;6758400;0;0
9836832;6758400;1;1
9836833;6758400;2;2
9836834;6758400;2;2
9836835;6758400;1;1
9836836;6758400;1;1
9836837;6758400;1;1
9836838;6758400;1;1
9836839;6758400;0;0
9836840;6758400;0;0
9836841;6758400;0;0
9836842;6758400;0;0
9836843;6758400;0;0
9836844;6758400;0;0
9836845;6758400;0;0
9836846;6758400;0;0
9836847;6758400;1;1
9836848;6758400;0;0
9836849;6758400;0;0
9836850;6758400;0;0
9836851;6758400;0;0
9836852;6758400;0;0
9836853;6758400;0;0
9836854;6758400;0;0
9836855;6758400;0;0
9836856;6758400;0;0
9836857;6758400;0;0
9836858;6758400;0;0
9836859;6758400;0;0
9836860;6758400;0;0
9836861;6758400;0;0
9836862;6758400;0;0
9836863;6758400;0;0
9836864;6758400;0;0
9836865;6758400;0;0
9836866;6758400;0;0
9836867;6758400;0;0
9836868;6758400;0;0
9836869;6758400;0;0
9836870;6758400;0;0
9836871;6758400;0;0
9836872;6758400;0;0
9836873;6758400;0;0
9836874;6758400;0;0
9836875;6758400;0;0
9836876;6758400;0;0
9836877;6758400;0;0
9836878;6758400;0;0
9836879;6758400;0;0
9836880;6758400;0;0
9836881;6758400;0;0
9836882;6758400;0;0
9836883;6758400;0;0
9836884;6758400;0;0
9836885;6758400;0;0
9836886;6758400;0;0
9836887;6758400;0;0
9836888;6758400;0;0
9836889;6758400;0;0
9836890;6758400;0;0
9836891;6758400;0;0
9836892;6758400;0;0
9836893;6758400;0;0
9836894;6758400;0;0
9836895;6758400;0;0
9836896;6758400;0;0
9836897;6758400;0;0
9836898;6758400;0;0
9836899;6758400;0;0
9836900;6758400;0;0
9836901;6758400;0;0
9836902;6758400;0;0
9836903;6758400;0;0
9836904;6758400;0;0
9837060;6758400;0;0
9837061;6758400;2;2
9837062;6758400;4;4
9837063;6758400;5;5
9837064;6758400;3;3
9837065;6758400;1;1
9837066;6758400;4;4
9837067;6758400;5;5
9837068;6758400;0;0
9837069;6758400;0;0
9837070;6758400;0;0
9837071;6758400;2;2
9837072;6758400;0;0
9837073;6758400;0;0
9837074;6758400;0;0
9837075;6758400;2;2
9837076;6758400;1;1
9837077;6758400;0;0
9837078;6758400;5;5
9837079;6758400;3;3
9837080;6758400;5;5
9837081;6758400;3;3
9837082;6758400;1;1
9837083;6758400;3;3
9837084;6758400;0;0
9837085;6758400;2;2
9837086;6758400;0;0
9837087;6758400;5;5
9837088;6758400;4;4
9837089;6758400;6;6
9837090;6758400;5;5
9837091;6758400;13;13
9837092;6758400;11;11
9837093;6758400;15;16
9837094;6758400;10;10
9837095;6758400;13;13
9837096;6758400;21;21
9837097;6758400;17;18
9837098;6758400;25;26
9837099;6758400;25;27
9837100;6758400;20;22
9837101;6758400;26;26
9837102;6758400;17;17
9837103;6758400;28;30
9837104;6758400;33;37
9837105;6758400;22;24
9837106;6758400;19;19
9837107;6758400;20;21
9837108;6758400;20;21
9837109;6758400;17;17
9837110;6758400;16;16
9837111;6758400;23;24
9837112;6758400;25;27
9837113;6758400;29;30
9837114;6758400;32;37
9837115;6758400;38;40
9837116;6758400;46;51
9837117;6758400;52;57
9837118;6758400;46;53
9837119;6758400;51;60
9837120;6758400;33;36
9837121;6758400;29;31
9837122;6758400;42;45
9837123;6758400;40;41
9837124;6758400;40;42
9837125;6758400;31;33
9837126;6758400;36;36
9837127;6758400;30;31
9837128;6758400;31;31
9837129;6758400;30;34
9837130;6885376;26;28
9837131;6885376;37;41
9837132;6885376;35;38
9837133;6885376;32;32
9837134;6885376;38;41
9837135;6885376;36;38
9837136;6885376;37;37
9837137;6885376;21;21
9837138;6885376;25;26
9837139;6885376;24;25
9837140;6885376;27;29
9837141;6885376;37;40
9837142;6885376;35;37
9837143;6885376;34;38
9837144;6885376;34;37
9837145;6885376;29;35
9837146;6885376;19;22
9837147;6885376;12;12
9837148;6885376;14;14
9837149;6885376;19;20
9837150;6885376;19;19
9837151;6885376;19;19
9837152;6885376;16;16
9837153;6885376;17;17
9837154;6885376;13;13
9837155;6885376;8;8
9837156;6885376;10;10
9837157;6885376;13;13
9837158;6885376;9;10
9837159;6885376;13;13
9837160;6885376;7;7
9837161;6885376;4;5
9837162;6885376;2;2
9837163;6885376;3;3
9837164;6885376;2;2
9837165;6885376;1;1
9837166;6885376;2;2
9837167;6885376;3;3
9837168;6885376;3;3
9837169;6885376;2;2
9837170;6885376;0;0
9837171;6885376;1;1
9837172;6885376;0;0
9837173;6885376;0;0
9837174;6885376;0;0
9837175;6885376;0;0
9837176;6885376;0;0
9837177;6885376;1;1
9837178;6885376;1;1
9837179;6885376;0;0
9837180;6885376;1;1
9837181;6885376;5;5
9837182;6885376;2;2
9837183;6885376;1;1
9837184;6885376;1;1
9837185;6885376;1;1
9837186;6885376;0;0
9837187;6885376;0;0
9837188;6885376;0;0
9837189;6885376;0;0
9837190;6885376;0;0
9837191;6885376;0;0
9837192;6885376;0;0
9837193;6885376;0;0
9837300;6885376;0;0
9837301;6885376;1;1
9837302;6885376;0;0
9837303;6885376;0;0
9837304;6885376;0;0
