Timestamp;Memory;Disks;Flocks
0;13897728;2249;2249
1;27037696;2110;4548
2;24268800;1544;3001
3;24268800;1032;1737
4;24268800;671;1063
5;24268800;484;702
6;24268800;340;463
7;24268800;248;320
8;24268800;190;232
9;24268800;163;182
10;24268800;127;149
11;24268800;141;158
12;24268800;126;139
13;24268800;111;128
14;24268800;107;116
15;24268800;94;94
16;24268800;95;97
17;24268800;85;87
18;24268800;80;80
19;24268800;70;70
20;24268800;58;64
21;24268800;55;65
22;24268800;64;68
23;24268800;79;83
24;24268800;81;85
25;24268800;69;79
26;24268800;76;83
27;24268800;95;99
28;24268800;68;70
29;24268800;63;67
30;24268800;72;77
31;24268800;75;77
32;24268800;65;69
33;24268800;82;84
34;24268800;74;79
35;24268800;80;86
36;24268800;70;79
37;24268800;64;67
38;24268800;66;67
39;24268800;68;71
40;24268800;87;93
41;24268800;100;104
42;24268800;88;90
43;24268800;94;102
44;24268800;101;112
45;24268800;85;92
46;24268800;87;94
47;24268800;80;81
48;24268800;68;74
49;24268800;60;61
50;24268800;74;75
51;24268800;59;60
52;24268800;60;62
53;24268800;73;76
54;24268800;63;64
55;24268800;68;71
56;24268800;43;44
57;24268800;50;52
58;24268800;66;70
59;24268800;66;72
60;24268800;59;70
61;24268800;65;69
62;24268800;73;80
63;24268800;83;85
64;24268800;74;78
65;24268800;84;84
66;24268800;70;73
67;24268800;51;54
68;24268800;63;65
69;24268800;73;74
70;24268800;75;77
71;24268800;64;65
72;24268800;70;72
73;24268800;67;71
74;24268800;71;76
75;24268800;82;86
76;24268800;85;88
77;24268800;74;80
78;24268800;78;82
79;24268800;83;90
80;24268800;82;84
81;24268800;64;66
82;24268800;70;76
83;24268800;61;64
84;24268800;87;87
85;24268800;69;71
86;24268800;77;78
87;24268800;82;89
88;24268800;67;73
89;24268800;95;99
90;24268800;77;89
91;24268800;78;82
92;24268800;80;85
93;24268800;69;73
94;24268800;61;66
95;24268800;63;64
96;24268800;60;63
97;24268800;57;60
98;24268800;63;65
99;24268800;66;67
100;24268800;3;3
