Timestamp;Memory;Disks;Flocks
4074535;34418688;3;3
4074536;36270080;8;11
4074537;38154240;12;14
4074538;38154240;8;11
4074539;38256640;8;13
4074540;38400000;10;18
4074541;39956480;9;17
4074542;41345024;9;17
4074543;41476096;8;17
4074544;42278912;7;13
4074545;42278912;13;17
4074546;42278912;7;12
4074547;42278912;5;12
4074548;42278912;9;16
4074549;43069440;8;12
4074550;43081728;10;15
4074551;43081728;8;13
4074552;43450368;7;11
4074553;43462656;8;12
4074554;43462656;5;7
4074555;43483136;5;8
4074556;43511808;8;12
4074557;43511808;9;14
4074558;43618304;13;23
4074559;43618304;10;20
4074560;43724800;9;18
4074561;43749376;9;21
4074562;43782144;10;21
4074563;43884544;12;25
4074564;43892736;10;25
4074565;44122112;10;26
4074566;44122112;11;27
4074567;44122112;4;18
4074568;44122112;6;18
4074569;44204032;4;13
4074570;44216320;4;11
4074571;44421120;5;14
4074572;44421120;6;15
4074573;44421120;11;22
4074574;44470272;12;23
4074575;44572672;11;24
4074576;44572672;17;32
4074577;44679168;14;26
4074578;44679168;16;26
4074579;44679168;11;23
4074580;44679168;13;24
4074581;44679168;10;18
4074582;44679168;14;19
4074583;44679168;11;19
4074584;44679168;10;18
4074585;44679168;12;20
4074586;44679168;16;22
4074587;44679168;16;26
4074588;44781568;24;36
4074589;44781568;17;31
4074590;45129728;16;33
4074591;45129728;18;39
4074592;45830144;18;44
4074593;45830144;22;46
4074594;45830144;19;43
4074595;45830144;20;43
4074596;45932544;13;35
4074597;45932544;24;48
4074598;45932544;18;44
4074599;45932544;25;43
4074600;45932544;30;47
4074601;45932544;30;45
4074602;46034944;27;37
4074603;46034944;35;47
4074604;46292992;28;43
4074605;46292992;38;55
4074606;47153152;23;37
4074607;48795648;25;38
4074608;49438720;16;20
4074609;49438720;20;24
4074610;49438720;14;22
4074611;49438720;13;23
4074612;49438720;16;23
4074613;49438720;16;26
4074614;49438720;17;26
4074615;49438720;16;27
4074616;49438720;9;19
4074617;49438720;17;28
4074618;49438720;6;17
4074619;49438720;10;22
4074620;49438720;10;21
4074621;49438720;11;18
4074622;49438720;13;21
4074623;49438720;6;16
4074624;49438720;12;21
4074625;49438720;12;19
4074626;49438720;10;19
4074627;49438720;11;19
4074628;49438720;11;18
4074629;49438720;9;13
4074630;49438720;14;18
4074631;49438720;12;15
4074632;49438720;12;17
4074633;49438720;10;17
4074634;49438720;10;18
4074635;49438720;12;18
4074636;49438720;13;18
4074637;49438720;12;17
4074638;49438720;6;14
4074639;49438720;9;15
4074640;49438720;15;22
4074641;49438720;12;20
4074642;49438720;11;20
4074643;49541120;7;14
4074644;49541120;13;17
4074645;49541120;10;16
4074646;49643520;3;10
4074647;49643520;7;15
4074648;49643520;8;17
4074649;49643520;5;15
4074650;49643520;9;21
4074651;49643520;6;19
4074652;49643520;5;18
4074653;49643520;13;22
4074654;49643520;11;18
4074655;49643520;10;16
4074656;49643520;9;14
4074657;49643520;9;15
4074658;49643520;5;8
4074659;49643520;7;10
4074660;49643520;2;4
4074661;49643520;4;5
4074662;49643520;4;5
4074663;49643520;4;7
4074664;49643520;3;4
4074665;49643520;3;4
4074666;49643520;2;4
4074667;49643520;2;2
4074668;49643520;0;0
4074669;49643520;1;1
4074670;49643520;0;0
4074671;49643520;0;0
4074672;49643520;0;0
4074673;49643520;0;0
4074674;49643520;0;0
4074675;49643520;0;0
4074676;49643520;0;0
4074677;49643520;0;0
4074678;49643520;0;0
4074679;49643520;0;0
4074680;49643520;0;0
4074681;49643520;0;0
4074682;49643520;0;0
4074683;49643520;0;0
4074684;49643520;0;0
4074685;49643520;0;0
4074686;49643520;0;0
4074687;49643520;0;0
4074688;49643520;0;0
4074690;43352064;0;0
4074691;43352064;0;0
4074692;43352064;0;0
4074693;43352064;0;0
4074694;43352064;0;0
4074695;43352064;0;0
4074696;43352064;0;0
4074697;43352064;0;0
4074698;43352064;0;0
4074699;43352064;0;0
4074700;43352064;0;0
4074701;43352064;0;0
4074702;43352064;0;0
4074703;43352064;0;0
4074704;43352064;0;0
4074705;43352064;0;0
4074706;43352064;0;0
4074707;43352064;0;0
4074708;43352064;0;0
4074709;43352064;0;0
4074710;43352064;0;0
4074711;43352064;0;0
4074712;43352064;1;1
4074713;43352064;2;2
4074714;43352064;2;4
4074715;43352064;2;4
4074716;43352064;3;5
4074717;43352064;3;5
4074718;43352064;3;5
4074719;43352064;3;7
4074720;43352064;3;5
4074721;43352064;3;5
4074722;43352064;4;7
4074723;43352064;6;10
4074724;43352064;5;11
4074725;43352064;5;10
4074726;43352064;5;10
4074727;43352064;4;9
4074728;43352064;5;11
4074729;43352064;3;11
4074730;43352064;3;11
4074731;43352064;3;12
4074732;43352064;3;12
4074733;43352064;3;12
4074734;43352064;3;11
4074735;43352064;3;11
4074736;43352064;3;11
4074737;43352064;3;12
4074738;43352064;3;10
4074739;43352064;3;10
4074740;43352064;3;10
4074741;43352064;3;8
4074742;43352064;3;8
4074743;43352064;2;6
4074744;43352064;2;5
4074745;43352064;2;5
4074746;43352064;2;5
4074747;43352064;2;5
4074748;43352064;2;3
4074749;43352064;2;2
4074750;43352064;3;3
4074751;43352064;1;1
4074752;43352064;1;1
4074753;43352064;0;0
4074754;43352064;0;0
4074755;43352064;0;0
4074756;43352064;0;0
4074757;43352064;0;0
4074758;43352064;0;0
4074759;43352064;0;0
4074760;43352064;0;0
4074761;43352064;0;0
4074762;43352064;0;0
4074763;43352064;0;0
4074764;43352064;0;0
4074765;43352064;0;0
4074766;43352064;0;0
4074767;43352064;0;0
4074768;43352064;0;0
4074769;43352064;0;0
4074770;43352064;0;0
4074771;43352064;0;0
4074772;43352064;0;0
4074773;43352064;0;0
4074774;43352064;0;0
4074775;43352064;0;0
4074776;43352064;0;0
4074777;43352064;1;1
4074778;43352064;0;0
4074779;43352064;0;0
4074780;43352064;0;0
4074781;43352064;0;0
4074782;43352064;0;0
4074783;43352064;0;0
4074784;43352064;0;0
4074785;43352064;0;0
4074786;43352064;0;0
4074787;43352064;0;0
4074788;43352064;1;1
4074789;43352064;2;2
4074790;43352064;1;1
4074791;43352064;1;1
4074792;43352064;3;3
4074793;43352064;0;0
4074794;43352064;0;0
4074795;43352064;0;0
4074796;43352064;0;0
4074797;43352064;0;0
4074798;43352064;0;0
4074799;43352064;0;0
4074800;43454464;0;0
4074801;43454464;0;0
4074802;43454464;0;0
4074803;43454464;0;0
4074804;43454464;3;3
4074805;43454464;2;2
4074806;43454464;1;1
4074807;43454464;0;0
4074808;43454464;0;0
4074809;43454464;1;1
4074810;43454464;0;0
4074811;43454464;3;3
4074812;43454464;3;3
4074813;43454464;3;4
4074814;44359680;6;8
4074815;45215744;4;7
4074816;46325760;4;9
4074817;46325760;11;15
4074818;46325760;11;15
4074819;46325760;13;18
4074820;46325760;8;13
4074821;46325760;11;17
4074822;46325760;12;19
4074823;46325760;10;18
4074824;46325760;10;20
4074825;46325760;13;22
4074826;46325760;11;23
4074827;46600192;11;27
4074828;46600192;12;27
4074829;46600192;6;25
4074830;46600192;7;25
4074831;46600192;7;24
4074832;46600192;8;27
