Timestamp;Memory;Disks;Flocks
4074535;2314240;43;43
4074536;5054464;481;490
4074537;7151616;531;563
4074538;8900608;526;577
4074539;9285632;546;601
4074540;9302016;590;664
4074541;9302016;435;502
4074542;9302016;480;555
4074543;9302016;440;516
4074544;9302016;348;411
4074545;9302016;478;557
4074546;9302016;447;539
4074547;9302016;392;475
4074548;9404416;436;524
4074549;9404416;481;596
4074550;9404416;358;466
4074551;9404416;396;506
4074552;9404416;359;477
4074553;9404416;380;494
4074554;9404416;372;459
4074555;9404416;382;463
4074556;9404416;370;467
4074557;9404416;299;375
4074558;9404416;358;432
4074559;9404416;458;543
4074560;9404416;327;427
4074561;9404416;384;478
4074562;9404416;301;387
4074563;9404416;400;487
4074564;9404416;430;521
4074565;9404416;442;542
4074566;9404416;434;526
4074567;9404416;462;545
4074568;9404416;409;490
4074569;9404416;441;508
4074570;9404416;479;565
4074571;9404416;350;415
4074572;9404416;441;516
4074573;9404416;437;515
4074574;9404416;466;548
4074575;9404416;439;522
4074576;9404416;447;531
4074577;9404416;449;548
4074578;9404416;441;538
4074579;9404416;427;507
4074580;9404416;388;473
4074581;9404416;366;447
4074582;9404416;396;477
4074583;9404416;347;433
4074584;9404416;393;480
4074585;9404416;370;464
4074586;9404416;411;511
4074587;9404416;473;576
4074588;9404416;421;514
4074589;9404416;390;480
4074590;9404416;441;520
4074591;9433088;480;560
4074592;9437184;463;549
4074593;9437184;459;524
4074594;9437184;439;514
4074595;9441280;447;508
4074596;9441280;396;446
4074597;9441280;447;505
4074598;9441280;379;437
4074599;9441280;506;557
4074600;9441280;466;521
4074601;9441280;432;481
4074602;9441280;514;565
4074603;9441280;497;550
4074604;9441280;502;561
4074605;9441280;521;580
4074606;9441280;491;559
4074607;9449472;530;604
4074608;9449472;515;586
4074609;9449472;520;583
4074610;9449472;492;553
4074611;9449472;359;427
4074612;9449472;417;472
4074613;9449472;537;595
4074614;9449472;530;569
4074615;9449472;492;533
4074616;9449472;482;521
4074617;9449472;426;475
4074618;9449472;513;565
4074619;9449472;469;509
4074620;9449472;401;430
4074621;9449472;459;490
4074622;9449472;518;557
4074623;9449472;520;560
4074624;9449472;494;543
4074625;9449472;510;556
4074626;9449472;424;458
4074627;9449472;372;398
