Timestamp;Memory;Disks;Flocks
0;1912832;25;25
1;2048000;21;27
2;2101248;21;31
3;2355200;36;68
4;2453504;48;93
5;2568192;48;114
6;2932736;43;168
7;4194304;71;270
8;4849664;74;362
9;4870144;79;405
10;5947392;93;487
11;5971968;85;532
12;6823936;83;588
13;7622656;79;571
14;7671808;85;689
15;8073216;95;852
16;8716288;88;904
17;8863744;92;987
18;10162176;111;1151
19;10534912;108;1174
20;10571776;99;1096
21;11677696;101;1164
22;12095488;110;1144
23;13099008;126;1155
24;13373440;118;1160
25;14372864;106;1114
26;14372864;101;991
27;14372864;101;959
28;14372864;77;812
29;14372864;113;865
30;14372864;115;888
31;14487552;130;975
32;15437824;116;894
33;15437824;133;874
34;15556608;128;814
35;16261120;149;856
36;16265216;151;815
37;16265216;168;880
38;16265216;145;845
39;16265216;155;848
40;16265216;145;865
41;16265216;136;948
42;16347136;136;970
43;16351232;160;973
44;16351232;173;1000
45;16355328;162;905
46;16355328;152;947
47;16359424;168;931
48;16359424;182;922
49;16359424;176;917
50;16363520;174;878
51;16363520;170;886
52;16363520;147;922
53;16367616;183;1055
54;16371712;190;1077
55;16371712;180;972
56;16375808;192;915
57;16375808;158;913
58;16375808;143;863
59;16375808;150;826
60;16375808;161;817
61;16379904;150;857
62;16379904;142;779
63;16379904;139;812
64;16379904;121;832
65;16384000;140;911
66;16478208;135;987
67;16760832;131;978
68;16773120;134;962
69;16777216;151;977
70;17190912;133;989
71;17190912;152;1040
72;17190912;144;995
73;17436672;149;1011
74;17440768;143;990
75;17440768;147;971
76;17440768;178;1041
77;17444864;176;994
78;17444864;149;957
79;17444864;152;993
80;18497536;158;1126
81;18497536;160;1081
82;18501632;167;1132
83;18501632;145;1127
84;18505728;144;1046
85;18505728;138;965
86;18505728;138;918
87;18509824;141;901
88;18509824;142;942
89;18509824;138;922
90;18513920;145;921
91;18513920;149;920
92;18702336;163;988
93;19566592;145;944
94;19566592;147;964
95;19570688;121;902
96;19570688;116;846
97;19570688;115;846
98;19574784;119;863
99;19730432;115;782
100;19730432;126;777
101;19734528;118;779
102;19734528;121;747
103;19734528;119;742
104;19738624;136;810
105;19738624;136;751
106;19738624;136;721
107;19738624;127;677
108;19742720;97;641
109;19742720;128;680
110;19742720;118;652
111;19746816;131;663
112;19746816;112;639
113;19746816;152;717
114;19750912;141;734
115;19750912;121;744
116;19750912;137;776
117;19755008;150;778
118;19755008;134;783
119;19755008;158;759
120;19755008;129;745
121;19902464;141;779
122;20512768;135;778
123;20512768;126;748
124;20512768;130;767
125;20516864;147;751
126;20516864;139;747
127;20516864;142;744
128;20516864;145;739
129;20619264;140;743
130;20619264;133;698
131;20619264;151;737
132;20762624;142;780
133;20762624;140;809
134;20815872;155;771
135;20815872;149;793
136;20815872;146;755
137;20815872;138;777
138;20815872;140;739
139;20815872;118;713
140;20815872;123;756
141;20819968;137;786
142;20819968;128;775
143;20897792;111;706
144;21045248;112;667
145;21643264;122;686
146;21643264;116;716
147;21647360;126;684
148;21647360;127;690
149;21647360;134;710
150;21647360;135;679
151;21647360;125;655
152;21647360;120;704
153;21647360;116;728
154;21790720;121;721
155;21794816;131;743
156;21794816;118;625
157;21868544;96;599
158;21876736;94;665
159;21876736;108;701
160;21876736;110;600
161;21876736;90;570
162;21880832;110;599
163;21880832;91;616
164;21880832;109;648
165;21880832;117;673
