Timestamp;Memory;Disks;Flocks
0;970752;25;25
1;1093632;21;27
2;1155072;21;31
3;1449984;36;68
4;1765376;48;93
5;1945600;48;114
6;2375680;43;168
7;2772992;71;270
8;3117056;74;362
9;3973120;79;405
10;5115904;93;487
11;5140480;85;532
12;5148672;83;588
13;6164480;79;571
14;6864896;85;689
15;7540736;95;852
16;7557120;88;904
17;7712768;92;987
18;8663040;111;1151
19;8998912;108;1174
20;10104832;99;1096
21;10133504;101;1164
22;11190272;110;1144
23;12021760;126;1155
24;12427264;118;1160
25;12615680;106;1114
26;12615680;101;991
27;12615680;101;959
28;13099008;77;812
29;13123584;113;865
30;13123584;115;888
31;13123584;130;975
32;14000128;116;894
33;14004224;133;874
34;14004224;128;814
35;14004224;149;856
36;14004224;151;815
37;14004224;168;880
38;14004224;145;845
39;14004224;155;848
40;14004224;145;865
41;14004224;136;948
42;14086144;136;970
43;14090240;160;973
44;14090240;173;1000
45;14094336;162;905
46;14094336;152;947
47;14098432;168;931
48;14098432;182;922
49;14098432;176;917
50;14102528;174;878
51;14102528;170;886
52;14102528;147;922
53;14639104;183;1055
54;15048704;190;1077
55;15048704;180;972
56;15052800;192;915
57;15142912;158;913
58;15142912;143;863
59;15142912;150;826
60;15142912;161;817
61;15147008;150;857
62;15147008;142;779
63;15147008;139;812
64;15200256;121;832
65;15208448;140;911
66;15237120;135;987
67;16257024;131;978
68;16257024;134;962
69;16261120;151;977
70;16261120;133;989
71;16261120;152;1040
72;16261120;144;995
73;16261120;149;1011
74;16265216;143;990
75;16265216;147;971
76;16265216;180;1043
77;16269312;176;994
78;16269312;149;957
79;16269312;153;994
80;16637952;159;1128
81;16637952;162;1085
82;17002496;170;1139
83;17182720;148;1135
84;17186816;145;1052
85;17297408;139;972
86;17334272;140;926
87;17338368;142;905
88;17338368;143;947
89;17485824;139;927
90;17932288;145;923
91;18018304;149;922
92;18391040;163;988
93;18395136;145;944
94;18395136;147;964
95;18399232;121;902
96;18399232;116;846
97;18399232;115;846
98;18403328;119;863
99;18558976;115;782
100;18558976;126;777
101;18563072;118;779
102;18563072;121;747
103;18563072;119;742
104;18567168;136;810
105;18567168;136;751
106;18567168;136;721
107;18567168;127;677
108;18571264;97;641
109;18571264;128;680
110;18571264;118;652
111;18575360;131;663
112;18575360;112;639
113;18575360;152;717
114;18579456;141;734
115;18579456;121;744
116;18579456;137;776
117;18583552;150;778
118;18583552;134;783
119;18583552;158;759
120;18583552;129;745
121;18587648;141;779
122;18587648;135;778
123;18587648;126;748
124;18587648;130;767
125;18591744;147;751
126;18591744;140;748
127;18591744;142;746
128;18591744;145;741
129;18591744;140;745
130;18591744;133;700
131;18591744;151;739
132;18632704;143;783
133;19480576;140;816
134;19484672;155;776
135;19484672;149;798
136;19484672;146;760
137;19529728;138;785
138;19529728;140;753
139;19529728;118;718
140;19529728;123;756
141;19648512;137;786
142;19648512;128;775
143;19648512;111;706
144;19648512;112;667
145;19648512;122;686
146;19648512;120;721
147;19652608;126;685
148;19652608;127;691
149;19652608;134;714
150;19652608;136;683
151;19652608;126;657
152;19652608;122;706
153;19652608;118;742
154;19652608;123;729
155;19656704;132;751
156;19656704;119;636
157;19656704;98;617
158;19656704;97;682
159;19656704;108;708
160;19681280;110;613
161;19681280;90;578
162;20541440;111;608
163;20709376;93;624
164;20709376;115;658
165;20709376;121;682
166;20709376;120;670
167;20709376;107;670
168;20709376;96;607
169;20713472;88;640
170;20713472;91;628
171;20713472;91;648
172;20713472;82;598
173;20713472;108;655
174;20713472;108;629
175;20717568;116;672
176;20717568;107;675
177;20860928;99;737
178;20860928;108;817
179;20865024;109;801
180;20865024;96;780
181;20865024;104;712
182;20865024;106;768
183;20865024;104;753
184;20869120;99;749
185;20869120;114;799
186;20869120;107;708
187;20869120;101;659
188;20869120;106;669
189;20869120;115;683
190;20869120;92;644
191;21299200;98;654
192;21299200;101;671
193;21299200;84;692
194;21303296;91;697
195;21303296;92;677
196;21303296;77;690
197;21303296;99;757
198;21303296;100;760
199;21303296;100;708
200;21307392;99;765
201;21307392;102;759
202;21311488;88;664
203;21311488;86;642
204;21311488;87;587
205;21311488;84;658
206;21315584;90;604
207;21315584;103;658
208;21315584;94;628
209;21323776;101;643
210;21323776;111;664
211;21323776;96;577
212;21323776;89;532
213;21323776;93;577
214;21327872;81;598
215;21327872;92;640
216;21327872;82;583
217;21327872;100;620
218;21327872;78;503
219;21327872;78;494
220;21331968;85;491
221;21331968;80;465
222;21331968;76;409
223;21331968;68;409
224;21331968;68;389
225;21331968;68;438
226;21331968;73;423
227;21331968;79;401
228;21331968;69;417
229;21331968;78;482
230;21336064;73;423
231;21336064;75;455
232;21336064;81;474
233;21336064;74;480
234;21336064;83;469
235;21336064;80;483
236;21336064;81;482
237;21336064;74;451
238;21340160;83;449
239;21340160;68;423
240;21340160;75;438
241;21377024;75;429
242;21377024;85;468
243;21377024;81;438
244;22237184;75;437
245;22237184;76;470
246;22388736;70;474
247;22388736;81;491
248;22392832;74;475
249;22421504;71;442
250;22421504;70;451
251;22421504;61;439
252;22425600;66;459
253;22425600;78;420
254;22425600;76;404
255;22425600;78;406
256;22425600;69;383
257;22425600;62;337
258;22429696;60;372
259;22429696;66;422
260;22429696;64;403
261;22429696;59;380
262;22429696;72;392
263;22429696;65;389
264;22429696;64;370
265;22433792;62;363
266;22433792;62;355
267;22433792;71;404
268;22433792;66;336
269;22433792;60;340
270;22433792;54;350
271;22433792;60;352
272;22433792;69;372
273;22437888;65;407
274;22437888;59;351
275;22437888;71;381
276;22437888;61;367
277;22437888;60;362
278;22437888;69;364
279;22437888;63;352
280;22437888;72;350
281;22437888;65;348
282;22470656;68;359
283;22474752;65;370
284;22474752;70;388
285;22474752;64;335
286;22474752;72;357
