Number Flocks;Length;Grid;Time;Flocks
4;4;10;73;0
4;4;30;99;12667
4;4;50;145;14971
4;4;80;421;14010
4;4;100;633;13560
4;6;10;72;0
4;6;30;92;8271
4;6;50;123;10175
4;6;80;308;9356
4;6;100;444;8941
4;8;10;72;0
4;8;30;89;5443
4;8;50;111;7072
4;8;80;241;6501
4;8;100;333;6161
4;10;10;72;0
4;10;30;87;3559
4;10;50;105;4918
4;10;80;201;4564
4;10;100;262;4329
4;20;10;73;0
4;20;30;79;335
4;20;50;86;594
4;20;80;126;658
4;20;100;147;696
4;30;10;74;0
4;30;30;78;9
4;30;50;82;28
4;30;80;111;54
4;30;100;125;58
6;4;10;98;0
6;4;30;121;5259
6;4;50;145;8270
6;4;80;241;8026
6;4;100;312;7318
6;6;10;96;0
6;6;30;122;3097
6;6;50;134;5248
6;6;80;220;5302
6;6;100;270;4863
6;8;10;97;0
6;8;30;117;1781
6;8;50;131;3343
6;8;80;200;3534
6;8;100;239;3241
6;10;10;94;0
6;10;30;114;1012
6;10;50;123;2097
6;10;80;190;2281
6;10;100;222;2137
6;20;10;97;0
6;20;30;101;49
6;20;50;109;125
6;20;80;154;176
6;20;100;177;183
6;30;10;95;0
6;30;30;100;2
6;30;50;107;2
6;30;80;141;2
6;30;100;163;2
8;4;10;78;0
8;4;30;85;2037
8;4;50;97;4870
8;4;80;156;5553
8;4;100;190;5168
8;6;10;77;0
8;6;30;84;971
8;6;50;94;2923
8;6;80;150;3415
8;6;100;182;3183
8;8;10;79;0
8;8;30;85;471
8;8;50;94;1745
8;8;80;146;2096
8;8;100;171;1919
8;10;10;78;0
8;10;30;82;230
8;10;50;91;991
8;10;80;139;1252
8;10;100;164;1155
8;20;10;78;0
8;20;30;83;15
8;20;50;84;28
8;20;80;128;38
8;20;100;143;41
8;30;10;82;0
8;30;30;79;0
8;30;50;83;0
8;30;80;112;0
8;30;100;128;0
10;4;10;76;0
10;4;30;82;698
10;4;50;90;2855
10;4;80;146;3878
10;4;100;175;3704
10;6;10;77;0
10;6;30;81;336
10;6;50;91;1512
10;6;80;139;2202
10;6;100;166;2151
10;8;10;76;0
10;8;30;81;171
10;8;50;87;771
10;8;80;130;1263
10;8;100;156;1235
10;10;10;74;0
10;10;30;79;89
10;10;50;84;365
10;10;80;127;722
10;10;100;167;684
10;20;10;83;0
10;20;30;82;0
10;20;50;88;9
10;20;80;121;10
10;20;100;140;10
10;30;10;83;0
10;30;30;84;0
10;30;50;84;0
10;30;80;115;0
10;30;100;130;0
20;4;10;79;0
20;4;30;82;18
20;4;50;88;29
20;4;80;131;378
20;4;100;154;620
20;6;10;81;0
20;6;30;82;0
20;6;50;89;6
20;6;80;126;143
20;6;100;145;254
20;8;10;79;0
20;8;30;82;0
20;8;50;87;1
20;8;80;122;31
20;8;100;144;82
20;10;10;79;0
20;10;30;82;0
20;10;50;86;0
20;10;80;119;4
20;10;100;138;29
20;20;10;79;0
20;20;30;82;0
20;20;50;83;0
20;20;80;110;0
20;20;100;125;0
20;30;10;80;0
20;30;30;81;0
20;30;50;83;0
20;30;80;108;0
20;30;100;120;0
