Number Flocks;Length;Grid;Time;Flocks
4;4;10;75;0
4;4;30;119;12667
4;4;50;235;14971
4;4;80;819;14010
4;4;100;1256;13560
4;6;10;75;0
4;6;30;120;8271
4;6;50;235;10175
4;6;80;833;9356
4;6;100;1273;8941
4;8;10;74;0
4;8;30;121;5443
4;8;50;238;7072
4;8;80;830;6501
4;8;100;1283;6161
4;10;10;75;0
4;10;30;121;3559
4;10;50;237;4918
4;10;80;844;4564
4;10;100;1293;4329
4;20;10;75;0
4;20;30;118;335
4;20;50;236;594
4;20;80;824;658
4;20;100;1263;696
4;30;10;75;0
4;30;30;117;9
4;30;50;231;28
4;30;80;818;54
4;30;100;1265;58
6;4;10;74;0
6;4;30;88;5259
6;4;50;113;8270
6;4;80;260;8026
6;4;100;385;7318
6;6;10;74;0
6;6;30;88;3097
6;6;50;112;5248
6;6;80;260;5302
6;6;100;383;4863
6;8;10;73;0
6;8;30;87;1781
6;8;50;112;3343
6;8;80;259;3534
6;8;100;382;3241
6;10;10;73;0
6;10;30;86;1012
6;10;50;111;2097
6;10;80;260;2281
6;10;100;384;2137
6;20;10;74;0
6;20;30;85;49
6;20;50;110;125
6;20;80;260;176
6;20;100;385;183
6;30;10;74;0
6;30;30;85;2
6;30;50;111;2
6;30;80;259;2
6;30;100;383;2
8;4;10;72;0
8;4;30;81;2037
8;4;50;93;4870
8;4;80;165;5553
8;4;100;212;5168
8;6;10;72;0
8;6;30;80;971
8;6;50;94;2923
8;6;80;164;3415
8;6;100;212;3183
8;8;10;72;0
8;8;30;80;471
8;8;50;94;1745
8;8;80;163;2096
8;8;100;212;1919
8;10;10;71;0
8;10;30;79;230
8;10;50;93;991
8;10;80;163;1252
8;10;100;211;1155
8;20;10;72;0
8;20;30;79;15
8;20;50;92;28
8;20;80;162;38
8;20;100;211;41
8;30;10;72;0
8;30;30;79;0
8;30;50;92;0
8;30;80;164;0
8;30;100;214;0
10;4;10;72;0
10;4;30;79;698
10;4;50;88;2855
10;4;80;142;3878
10;4;100;178;3704
10;6;10;72;0
10;6;30;78;336
10;6;50;91;1512
10;6;80;143;2202
10;6;100;174;2151
10;8;10;72;0
10;8;30;78;171
10;8;50;87;771
10;8;80;142;1263
10;8;100;181;1235
10;10;10;72;0
10;10;30;77;89
10;10;50;92;365
10;10;80;141;722
10;10;100;174;684
10;20;10;72;0
10;20;30;77;0
10;20;50;86;9
10;20;80;141;10
10;20;100;172;10
10;30;10;71;0
10;30;30;77;0
10;30;50;86;0
10;30;80;141;0
10;30;100;172;0
20;4;10;79;0
20;4;30;82;18
20;4;50;89;29
20;4;80;130;378
20;4;100;151;620
20;6;10;78;0
20;6;30;83;0
20;6;50;91;6
20;6;80;132;143
20;6;100;154;254
20;8;10;79;0
20;8;30;84;0
20;8;50;88;1
20;8;80;128;31
20;8;100;153;82
20;10;10;79;0
20;10;30;84;0
20;10;50;89;0
20;10;80;127;4
20;10;100;150;29
20;20;10;79;0
20;20;30;84;0
20;20;50;87;0
20;20;80;126;0
20;20;100;153;0
20;30;10;80;0
20;30;30;82;0
20;30;50;88;0
20;30;80;127;0
20;30;100;151;0
