Timeslot;All Disks;After Merge;Flocks;Flocks After Merging;Flocks After Reporting;Grid Contention;Disk Contention;Total EG;Total Points;Grid Time;Disk Time;Processing Time;Disk Processing Time;Total Threads Time
4074535;2266;25;0;25;25;59;251;1403;15602;316;303;35;0;319
4074536;55726;304;25;310;310;285;781;3430;35975;1549;1758;263;56;1767
4074537;69926;333;310;358;358;801;870;3644;39181;1930;2219;327;61;2231
4074538;68706;289;358;331;331;248;641;3598;37341;1565;2120;381;161;2134
4074539;73502;301;331;343;343;732;814;3542;37802;1691;2111;393;67;2123
4074540;54836;296;343;340;340;584;770;3589;38824;1556;1787;310;66;1803
4074541;36890;218;340;262;262;250;554;3073;30008;994;1132;172;15;1145
4074542;38422;202;262;241;241;233;533;3263;32545;951;1067;158;20;1084
4074543;34592;190;241;237;237;110;412;3159;28330;763;850;133;2;863
4074544;32718;175;237;205;205;228;555;2955;28126;920;1001;138;9;1017
4074545;47598;227;205;272;272;204;584;3363;33632;1056;1311;213;28;1320
4074546;37032;190;272;246;246;206;504;2985;29469;908;956;127;0;966
4074547;34478;217;246;267;267;146;434;3044;29655;879;981;143;15;992
4074548;49346;215;267;265;265;211;541;3236;33014;997;1227;205;33;1238
4074549;42488;213;265;269;269;175;466;3170;31699;880;1041;165;26;1051
4074550;41736;178;269;237;237;160;445;2989;27237;858;958;151;0;969
4074551;57184;182;237;246;246;155;447;2958;28286;1029;1163;161;25;1172
4074552;39834;174;246;237;236;175;518;3016;30084;888;1017;148;2;1025
4074553;25476;168;236;231;231;154;362;2775;26140;611;654;95;1;662
4074554;25180;160;231;210;210;133;402;2970;26397;681;713;93;12;728
4074555;28142;170;210;224;224;146;356;2991;26826;633;667;83;9;674
4074556;27950;150;224;209;209;145;428;3100;27248;708;735;98;1;747
4074557;23816;134;209;180;180;161;416;2654;22398;663;687;88;3;698
4074558;37920;164;180;205;205;140;447;2994;26814;765;857;123;12;867
4074559;86286;187;205;234;234;209;506;3184;31472;1313;1556;302;35;1566
4074560;69318;145;234;194;194;217;484;2915;26295;1089;1219;212;12;1227
4074561;72850;168;194;218;218;304;707;3102;28121;1393;1567;222;118;1591
4074562;37812;143;218;184;184;238;479;2751;23031;840;857;123;0;865
4074563;53572;210;184;254;254;126;436;3049;27586;905;1178;221;29;1186
4074564;59752;238;254;284;284;176;445;3188;28807;1047;1339;229;41;1348
4074565;70294;251;284;301;301;281;498;3294;31287;1259;1657;278;169;1667
4074566;87226;221;301;268;268;271;559;3132;28877;1264;1693;292;80;1701
4074567;64266;253;268;294;294;159;550;3416;31326;1231;1640;364;33;1656
4074568;51682;215;294;255;255;234;531;3195;28406;1120;1297;236;12;1313
4074569;53284;212;255;246;246;219;509;3363;31726;1096;1250;213;22;1261
4074570;52446;211;246;250;250;385;806;3475;33571;1390;1609;226;10;1618
4074571;40328;159;250;190;190;98;457;2939;26574;875;994;177;3;1002
4074572;62780;186;190;223;223;279;610;3242;31756;1197;1364;241;13;1374
4074573;53918;210;223;253;253;266;655;3091;29576;1152;1391;231;73;1465
4074574;72696;221;253;263;263;409;628;3181;31193;1341;1670;299;47;1680
4074575;58148;205;263;249;249;190;636;3289;30426;1260;1551;263;83;1559
4074576;78930;200;249;245;245;192;577;3271;31265;1435;1706;329;15;1727
4074577;68486;193;245;239;239;171;552;3329;31902;1282;1562;236;70;1571
4074578;61230;181;239;224;224;353;708;3249;30481;1354;1559;254;22;1588
4074579;56314;164;224;199;199;234;687;3332;30546;1269;1348;199;12;1372
4074580;62978;154;199;191;191;220;622;3274;30507;1301;1439;226;22;1446
4074581;52494;150;191;195;195;190;704;3097;27872;1225;1340;180;23;1349
4074582;58258;155;195;194;194;212;584;3222;29428;1152;1251;201;6;1271
4074583;48966;154;194;204;204;304;681;3104;28406;1144;1216;187;3;1223
4074584;51462;184;204;239;239;267;555;3208;30555;1057;1234;188;18;1241
4074585;49252;185;239;237;237;185;598;3187;30127;1044;1235;185;39;1243
4074586;60918;190;237;243;243;347;629;3225;31497;1198;1365;194;38;1374
4074587;78198;185;243;229;229;213;624;3436;34082;1430;1677;275;86;1690
4074588;74964;184;229;233;233;454;760;3132;29598;1414;1506;224;9;1514
4074589;31292;181;233;229;229;180;464;2937;28381;782;845;103;12;852
4074590;39522;206;229;249;249;253;601;3182;30195;986;1069;136;4;1078
4074591;30842;195;249;235;235;336;655;3340;31552;1024;1140;149;17;1182
4074592;32198;184;235;227;227;222;547;3100;29475;896;967;138;2;977
4074593;28106;215;227;255;255;146;453;2943;27701;764;855;126;0;864
4074594;30784;216;255;262;262;227;521;3168;29528;879;979;143;1;986
4074595;31572;206;262;239;239;302;557;3279;30868;984;1021;124;20;1044
4074596;28022;197;239;225;225;146;498;3178;28150;793;890;127;6;896
4074597;41854;211;225;238;238;261;609;3553;33174;1125;1292;170;42;1299
4074598;30144;214;238;244;244;159;502;3210;29582;892;1004;130;26;1017
4074599;35878;252;244;280;280;247;537;3612;33412;914;1085;162;16;1095
4074600;31940;263;280;295;294;219;507;3185;29144;842;988;151;10;1007
4074601;27046;297;294;326;326;195;370;3155;27471;752;838;125;44;850
4074602;29904;354;326;384;384;240;423;3604;35037;916;1040;145;21;1045
4074603;40656;345;384;377;377;444;970;3682;36019;1551;1608;247;37;1617
4074604;38764;334;377;372;372;180;442;3607;34206;934;1215;171;53;1226
4074605;38194;344;372;384;384;260;458;3603;34350;993;1344;224;81;1379
4074606;37488;329;384;369;369;296;460;3606;33514;906;1101;205;42;1115
4074607;34590;358;369;401;401;255;522;3772;35858;1019;1169;169;3;1177
4074608;26522;303;401;349;349;149;458;3706;36201;788;922;145;7;930
4074609;31884;279;349;311;311;235;498;3705;35866;892;934;122;3;943
4074610;26328;256;311;293;293;144;407;3550;34108;807;849;102;2;855
4074611;35394;221;293;268;268;276;552;3260;30721;919;995;142;4;1005
4074612;34784;261;268;300;300;151;463;3340;31262;866;1069;175;4;1093
4074613;57692;335;300;370;370;165;455;3739;37883;1122;1796;303;196;1803
4074614;42316;283;370;302;302;379;692;3717;36187;1179;1432;248;26;1440
4074615;52022;284;302;307;307;255;542;3704;37924;1159;1450;217;49;1472
4074616;51454;276;307;297;297;253;601;3694;36578;1160;1470;260;26;1475
4074617;56496;238;297;272;272;230;580;3231;29956;1189;1473;235;54;1483
4074618;48604;263;272;294;294;383;738;3667;36773;1304;1553;230;58;1564
4074619;55998;236;294;253;253;158;523;3387;31775;1130;1428;233;49;1466
4074620;33948;223;253;235;235;198;485;3122;28292;899;1003;157;8;1011
4074621;48110;278;235;294;294;288;513;3291;30548;1087;1274;241;6;1289
4074622;47542;292;294;316;316;606;683;3505;33009;1467;1534;192;78;1545
4074623;55658;302;316;323;323;514;697;3345;32854;1402;1549;244;32;1556
4074624;44646;250;323;272;272;268;506;3208;30476;1000;1141;861;16;1161
4074625;47670;237;272;256;256;253;471;3292;31323;957;1069;174;33;1084
4074626;33406;199;256;212;212;158;426;2959;26861;743;768;108;2;792
4074627;20206;204;212;215;215;168;419;2788;25995;676;722;95;0;741
4074628;20698;216;215;238;238;103;277;2792;25026;519;543;77;7;549
4074629;26768;188;238;207;207;139;376;3032;28277;646;695;104;10;703
4074630;23910;225;207;247;247;193;362;3061;28951;637;660;85;15;666
4074631;17572;228;247;245;245;143;421;2874;26458;701;713;90;4;726
4074632;25222;237;245;261;261;119;313;2758;26789;582;612;83;0;625
4074633;34120;261;261;286;286;225;436;2954;29231;823;881;122;8;892
4074634;31758;238;286;267;267;245;442;3063;29200;809;840;103;4;848
4074635;20994;222;267;253;253;152;400;2801;25891;667;673;86;4;688
4074636;25582;205;253;232;232;201;456;2906;28128;752;749;87;2;761
4074637;18256;177;232;201;201;106;374;2751;24873;620;624;73;0;631
4074638;15452;167;201;187;187;107;347;2491;21777;607;611;72;1;620
4074639;15552;193;187;207;207;78;342;2561;22786;553;587;84;1;595
4074640;21312;226;207;248;248;176;371;2704;24345;631;662;98;1;672
4074641;21036;169;248;189;189;129;500;2813;25139;765;802;97;0;811
4074642;16634;190;189;210;210;96;347;2842;25802;616;620;77;0;629
4074643;19624;204;210;224;224;144;379;2711;24246;661;675;83;3;682
4074644;11654;166;224;176;176;82;312;2475;21318;520;518;63;0;530
4074645;17060;195;176;205;205;91;352;2777;24682;636;646;82;5;655
4074646;22486;203;205;228;228;132;366;2736;25089;662;674;90;3;683
4074647;22926;197;228;225;225;104;354;2838;24570;615;635;86;4;647
4074648;19724;207;225;244;244;113;325;2700;24204;577;615;79;3;625
4074649;26952;228;244;267;267;138;326;2682;24671;591;667;97;1;675
4074650;34880;187;267;229;229;166;382;2643;24626;658;730;109;4;734
4074651;22836;171;229;206;206;88;340;2571;23231;580;616;79;1;626
4074652;22550;169;206;208;208;173;401;2501;21800;634;682;104;0;693
4074653;21774;144;208;182;182;139;347;2258;18986;569;577;69;2;583
4074654;30174;147;182;194;194;157;350;2460;22357;600;629;90;0;639
4074655;28600;163;194;208;208;146;365;2493;22113;639;679;85;6;691
4074656;9878;105;208;133;133;44;273;2009;15653;412;412;50;1;419
