Timeslot;Thread Id;Disks;Grids;Points;Grid Contention;Disk Contention;Disks Final;Grid Time;Disk Time
0;0;466;1;32;1;3;8;10;9
0;1;3323;2;72;1;4;10;50;56
0;2;3680;3;99;1;3;19;58;60
0;3;466;1;32;1;3;8;9;8
0;4;653;4;65;1;6;8;12;12
0;5;3282;1;64;1;12;9;60;63
0;6;527;2;45;0;5;5;12;12
0;7;548;3;51;0;1;9;8;8
0;8;8554;2;101;0;4;2;139;138
0;9;613;3;58;0;7;6;8;11
1;0;649;2;39;7;7;4;11;11
1;1;3948;2;74;1;24;12;52;64
1;2;845;4;65;8;9;11;14;14
1;3;3906;1;66;2;27;11;68;69
1;4;8761;2;110;3;4;2;118;118
1;5;639;3;47;0;11;6;19;18
1;6;8723;2;117;4;13;8;167;176
1;7;628;1;33;8;15;4;18;20
1;8;653;3;60;7;8;8;9;10
1;9;3937;1;67;0;10;12;61;67
2;0;4041;1;67;4;21;7;56;62
2;1;1449;5;99;6;6;9;14;14
2;2;1006;3;79;10;10;8;14;14
2;3;4041;1;67;5;10;7;65;65
2;4;274;2;23;11;11;2;14;13
2;5;4011;1;66;4;30;7;53;57
2;6;4011;1;66;7;34;7;54;63
2;7;8617;2;117;6;18;8;213;212
2;8;9025;2;124;6;26;6;125;144
2;9;23;2;10;12;16;1;13;16
3;0;8019;4;144;4;10;23;130;170
3;1;636;3;45;11;22;6;27;26
3;2;6286;1;81;2;25;4;113;125
3;3;539;2;37;10;14;4;20;19
3;4;4075;3;76;2;15;5;43;50
3;5;4454;2;103;4;13;14;49;67
3;6;646;2;41;10;10;6;14;14
3;7;7288;3;112;4;17;12;133;133
3;8;405;2;42;10;11;10;11;13
3;9;4048;1;65;3;28;3;63;64
4;0;6531;3;128;15;32;16;95;113
4;1;4334;4;106;11;29;6;106;106
4;2;6340;5;134;15;46;16;156;165
4;3;1408;4;94;20;22;10;27;27
4;4;5479;1;78;2;15;4;70;79
4;5;147;2;22;26;26;7;27;27
4;6;3986;1;64;13;14;2;65;65
4;7;4092;3;85;3;3;6;62;69
4;8;63;1;15;33;32;4;35;34
4;9;284;2;39;23;24;14;25;25
5;0;5026;7;177;21;24;20;82;100
5;1;5770;1;81;4;18;5;101;118
5;2;114;1;13;38;39;1;40;39
5;3;5503;6;184;24;31;20;100;116
5;4;39;1;12;38;39;2;40;39
5;5;3976;1;64;3;42;3;93;98
5;6;5892;1;82;5;21;9;67;91
5;7;3976;1;65;8;15;3;48;49
5;8;1121;9;132;21;26;16;32;31
5;9;4299;3;108;15;26;9;55;71
6;0;1150;10;139;19;19;31;25;26
6;1;4154;4;119;6;6;23;37;63
6;2;3541;1;62;3;15;3;33;38
6;3;4642;7;177;12;25;32;78;96
6;4;3789;5;107;1;3;16;48;51
6;5;3567;1;66;26;38;7;75;76
6;6;591;2;59;22;22;18;26;25
6;7;5323;2;100;13;47;21;89;106
6;8;4868;1;74;3;15;7;70;76
6;9;160;2;28;21;23;8;23;24
7;0;4234;5;140;8;18;25;57;80
7;1;4959;6;175;30;39;52;93;117
7;2;0;1;4;32;32;0;33;32
7;3;3510;5;126;2;18;34;40;77
7;4;3530;5;99;1;5;17;39;69
7;5;4194;2;105;1;15;30;72;86
7;6;2286;3;86;2;12;19;26;27
7;7;3964;7;144;0;13;29;43;70
7;8;217;1;22;27;29;8;31;30
7;9;3432;2;77;2;16;13;45;55
8;0;3596;4;111;12;23;27;31;53
8;1;3974;8;186;0;1;56;34;78
8;2;2960;4;100;1;14;21;27;42
8;3;3331;5;100;1;22;19;53;61
8;4;6547;6;200;2;20;51;64;137
8;5;567;3;63;18;19;31;20;21
8;6;3397;3;93;1;10;20;54;60
8;7;1176;6;118;1;10;32;19;19
8;8;1904;3;64;1;13;5;23;31
8;9;3474;2;94;4;15;23;67;70
9;0;4436;11;260;8;15;59;40;64
9;1;6553;10;223;1;8;38;39;94
9;2;3354;3;81;2;17;16;33;43
9;3;14;1;8;38;38;2;39;38
9;4;3869;5;126;8;8;27;55;66
9;5;3354;6;103;1;2;18;43;52
9;6;2622;4;145;0;10;36;27;37
9;7;174;1;23;36;35;12;38;37
9;8;343;2;40;12;22;19;27;27
9;9;158;2;25;36;26;9;37;26
10;0;2098;5;99;6;10;31;23;39
10;1;5040;5;143;1;1;37;49;86
10;2;4883;11;192;10;17;35;41;82
10;3;3179;6;172;9;22;51;17;39
10;4;2253;5;129;1;3;32;17;17
10;5;3739;2;86;4;20;26;65;79
10;6;3901;5;115;1;28;45;27;96
10;7;485;1;33;20;19;14;22;21
10;8;996;2;59;17;15;21;22;21
10;9;607;5;84;14;12;16;15;17
11;0;1921;5;126;9;17;40;31;34
11;1;2588;17;270;24;12;63;35;36
11;2;3637;2;87;3;2;13;50;57
11;3;4744;5;151;17;14;29;56;79
11;4;2196;9;174;19;6;58;31;40
11;5;124;2;22;28;28;7;30;29
11;6;152;1;21;28;29;8;29;29
11;7;4846;3;134;7;6;18;47;64
11;8;304;1;27;25;27;15;29;29
11;9;3207;2;63;3;30;3;67;65
12;0;1474;8;148;14;8;41;18;17
12;1;4467;4;121;5;16;32;55;87
12;2;150;1;19;14;14;8;18;17
12;3;1130;3;49;12;11;3;18;17
12;4;3688;1;63;4;15;8;44;43
12;5;2045;14;163;9;15;34;22;34
12;6;3977;1;73;1;5;15;32;49
12;7;7690;14;355;1;12;65;41;149
12;8;773;4;75;12;4;23;15;18
12;9;693;2;57;0;15;23;18;18
13;0;1837;8;139;15;22;43;23;39
13;1;3177;2;79;1;3;23;48;50
13;2;4689;13;224;15;10;74;39;108
13;3;2939;4;90;21;31;20;36;50
13;4;2034;6;137;15;18;44;23;34
13;5;2144;8;169;17;23;59;22;38
13;6;504;2;48;15;18;23;23;23
13;7;4377;8;197;14;23;55;41;90
13;8;0;0;0;23;23;0;23;23
13;9;1540;1;42;5;6;2;22;22
14;0;2407;3;82;6;20;18;34;42
14;1;3244;8;215;12;24;61;22;67
14;2;3462;8;139;2;9;9;44;57
14;3;2542;2;73;5;13;10;30;39
14;4;1183;2;53;4;14;23;27;25
14;5;3222;11;205;1;10;54;24;63
14;6;1388;4;80;12;15;25;26;26
14;7;2161;8;142;2;27;47;42;46
14;8;1242;5;98;1;18;38;19;25
14;9;2544;2;73;1;11;11;36;36
15;0;4193;16;286;10;4;75;29;85
15;1;1045;2;43;17;17;4;25;23
15;2;1421;3;63;16;7;33;25;24
15;3;760;5;88;19;19;36;23;24
15;4;2484;5;130;1;13;61;29;57
15;5;1371;5;68;16;12;28;24;23
15;6;3910;5;147;0;1;29;23;46
15;7;0;0;0;23;22;0;23;23
15;8;4735;9;237;0;11;68;23;64
15;9;2844;3;100;12;17;10;33;39
16;0;3399;5;147;1;7;58;33;68
16;1;4789;12;242;0;7;66;29;93
16;2;1780;6;124;0;14;53;16;29
16;3;4177;7;191;0;12;62;29;77
16;4;1651;1;43;3;13;8;14;22
16;5;3605;15;269;0;8;83;13;54
16;6;1590;2;71;7;0;34;13;12
16;7;0;0;0;13;13;0;14;13
16;8;0;0;0;13;13;0;13;13
16;9;14;2;14;0;14;3;13;14
17;0;2206;3;78;2;11;15;17;32
17;1;0;0;0;17;16;0;18;17
17;2;3585;9;201;6;12;53;33;74
17;3;2376;8;161;8;14;55;19;35
17;4;2836;12;203;2;12;46;25;42
17;5;3049;9;185;4;8;51;15;35
17;6;2503;7;157;6;15;66;20;52
17;7;3414;2;86;5;16;3;25;29
17;8;0;0;0;12;14;0;13;14
17;9;1001;3;73;1;22;29;16;32
18;0;3095;8;159;1;10;44;15;43
18;1;2;3;15;12;12;1;13;12
18;2;1586;3;78;1;15;23;13;22
18;3;1136;9;131;7;3;40;11;10
18;4;3476;8;203;0;8;64;18;70
18;5;3318;8;161;0;0;55;30;70
18;6;2513;4;132;3;11;46;12;28
18;7;2673;8;134;5;20;44;21;60
18;8;0;0;0;10;10;0;10;10
18;9;2983;7;146;0;0;51;21;55
19;0;3405;7;134;3;4;37;34;65
19;1;460;1;33;18;18;21;23;21
19;2;4431;18;313;5;21;66;36;80
19;3;605;4;55;18;15;17;23;21
19;4;4115;14;275;6;1;61;33;47
19;5;4934;10;206;1;15;28;41;66
19;6;2124;6;126;6;11;52;29;40
19;7;0;0;0;0;0;0;28;0
19;8;0;0;0;0;0;0;28;0
19;9;2046;3;97;0;3;31;20;20
20;0;4936;16;282;15;11;60;37;83
20;1;3745;11;189;12;10;30;38;51
20;2;975;2;47;18;31;23;42;42
20;3;2476;8;171;25;13;46;33;33
20;4;1122;4;104;28;28;22;33;32
20;5;144;2;23;31;31;12;33;32
20;6;2557;2;68;11;11;14;32;39
20;7;2341;5;104;16;16;18;32;40
20;8;1448;9;130;23;18;49;32;32
20;9;956;3;48;24;25;5;32;32
21;0;1650;13;149;7;11;28;14;22
21;1;4132;10;199;4;8;46;28;76
21;2;5;3;15;12;12;2;15;13
21;3;1276;4;91;7;6;20;14;13
21;4;796;3;66;8;6;20;15;13
21;5;3608;8;166;3;4;25;27;44
21;6;2887;7;131;1;2;34;19;42
21;7;604;2;50;5;9;26;13;13
21;8;3481;8;158;4;12;32;24;68
21;9;2027;10;184;2;15;52;11;30
22;0;2801;10;162;10;5;32;31;43
22;1;237;1;25;27;28;10;31;31
22;2;2540;5;122;15;8;32;31;30
22;3;723;6;87;20;21;24;31;30
22;4;3743;11;191;22;19;40;47;69
22;5;4121;14;292;19;2;64;36;53
22;6;927;6;99;24;22;29;29;29
22;7;2631;5;123;15;11;36;29;47
22;8;2467;9;148;15;21;35;35;60
22;9;976;4;52;3;19;5;29;28
23;0;2670;3;96;4;4;18;22;31
23;1;66;2;18;12;12;2;14;13
23;2;2942;16;186;3;2;33;22;41
23;3;213;2;31;11;11;13;14;12
23;4;958;6;118;9;7;40;14;13
23;5;1050;9;141;9;14;36;12;19
23;6;4173;10;219;3;14;36;27;62
23;7;3256;11;196;2;13;36;17;47
23;8;3847;14;263;2;11;59;21;78
23;9;3;1;7;11;16;1;11;17
24;0;3901;15;277;2;11;57;33;63
24;1;3776;13;239;1;6;66;36;75
24;2;2384;4;82;1;11;13;23;27
24;3;2774;3;98;1;6;33;32;52
24;4;1337;10;133;1;12;35;7;22
24;5;1038;10;144;2;4;30;6;10
24;6;1405;5;90;0;14;12;29;27
24;7;117;2;23;0;32;2;34;33
24;8;751;5;61;2;6;15;6;9
24;9;130;6;57;3;4;9;4;4
25;0;2106;19;287;1;6;69;16;30
25;1;2523;7;118;2;13;32;19;43
25;2;2621;10;172;1;9;42;23;41
25;3;3887;14;242;2;1;49;32;69
25;4;0;0;0;19;18;0;20;19
25;5;0;1;5;10;20;0;11;20
25;6;5284;24;412;0;5;78;29;79
25;7;0;0;0;0;0;0;15;0
25;8;0;0;0;0;0;0;15;0
25;9;10;1;6;0;0;2;10;0
26;0;1400;18;227;1;1;52;13;13
26;1;1950;3;80;1;4;24;16;23
26;2;161;4;39;7;7;13;9;8
26;3;3189;4;121;1;5;23;23;34
26;4;1058;6;105;0;0;36;11;10
26;5;23;2;17;8;9;4;9;9
26;6;0;0;0;8;8;0;8;8
26;7;3047;7;149;1;9;33;19;44
26;8;2506;18;279;0;0;61;7;31
26;9;2386;9;149;1;0;24;17;29
27;0;2313;21;304;4;9;67;10;30
27;1;1788;2;55;2;7;11;12;22
27;2;2470;6;128;1;2;42;21;36
27;3;1392;9;155;8;8;48;13;18
27;4;3187;7;128;1;6;13;22;29
27;5;1361;10;135;1;12;16;13;18
27;6;2899;10;178;4;9;47;23;49
27;7;0;0;0;12;19;0;12;19
27;8;1318;9;115;0;9;17;22;23
27;9;0;0;0;18;21;0;18;21
28;0;2647;5;127;6;6;27;26;29
28;1;2053;8;131;4;4;31;23;28
28;2;1882;9;144;7;7;27;23;22
28;3;2040;14;212;16;11;27;25;24
28;4;139;4;40;12;21;8;27;25
28;5;3181;11;228;8;12;44;24;44
28;6;810;2;49;16;18;5;21;22
28;7;1036;2;55;18;19;8;25;27
28;8;2572;10;194;5;0;31;20;32
28;9;563;9;97;18;10;25;20;11
29;0;2863;10;185;1;3;20;16;29
29;1;2302;18;284;2;2;42;16;18
29;2;1999;5;107;10;13;22;26;33
29;3;277;6;79;1;14;15;16;15
29;4;1990;8;128;1;6;32;22;31
29;5;2090;5;106;1;12;33;19;35
29;6;1799;19;253;0;0;47;11;15
29;7;6;1;9;6;16;2;13;17
29;8;0;0;0;0;0;0;16;0
29;9;1556;1;45;0;0;10;18;8
30;0;2191;7;139;1;1;33;22;25
30;1;277;5;62;6;9;10;8;12
30;2;2203;11;184;2;9;46;17;35
30;3;1127;9;107;4;8;20;11;16
30;4;653;2;44;1;7;10;13;12
30;5;1311;6;107;2;6;29;7;15
30;6;1745;13;174;0;0;32;7;14
30;7;509;3;59;3;14;6;17;16
30;8;2187;10;183;2;8;38;10;28
30;9;1681;6;112;4;9;31;11;23
31;0;946;9;134;5;4;31;12;11
31;1;2328;13;199;3;4;27;18;22
31;2;2439;8;172;1;4;33;12;15
31;3;1412;11;143;3;4;31;11;13
31;4;2239;9;143;0;5;29;14;23
31;5;2624;22;298;0;4;40;16;23
31;6;708;2;44;2;5;16;13;12
31;7;1009;1;37;8;8;8;16;13
31;8;198;4;52;7;5;20;9;7
31;9;0;0;0;9;10;0;10;10
32;0;2229;23;295;2;8;52;12;28
32;1;14;4;21;8;8;1;10;9
32;2;2341;16;254;2;9;43;10;26
32;3;1224;9;127;2;6;45;7;18
32;4;2146;9;161;2;8;24;9;21
32;5;1828;15;217;1;7;65;7;25
32;6;1759;4;102;1;7;25;8;19
32;7;769;1;35;0;0;17;7;7
32;8;0;0;0;8;16;0;8;16
32;9;0;0;0;6;6;0;6;6
33;0;0;2;14;7;7;0;8;8
33;1;2433;17;264;1;1;57;9;29
33;2;0;0;0;7;7;0;8;7
33;3;473;3;52;7;7;15;9;9
33;4;2514;18;290;1;7;52;9;27
33;5;2194;18;247;0;6;50;9;27
33;6;1462;11;177;3;4;29;8;9
33;7;1849;10;155;0;6;34;6;17
