Timeslot;All Disks;After Merge;Flocks;Flocks After Merging;Flocks After Reporting;Grid Contention;Disk Contention;Total EG;Total Points;Grid Time;Disk Time;Processing Time;Disk Processing Time;Total Threads Time
0;22112;27;0;27;27;6;48;22;619;366;377;141;5;391
1;32689;28;27;44;44;40;128;21;678;537;567;180;6;591
2;36498;22;44;68;68;71;182;20;718;621;660;214;0;670
3;36396;36;68;88;88;60;165;23;746;603;681;172;12;693
4;32664;33;88;74;74;161;243;26;765;668;710;167;0;725
5;35716;32;74;76;76;177;281;31;918;658;752;121;11;761
6;31785;55;76;120;120;126;213;35;931;504;581;110;11;621
7;30326;77;120;164;164;105;197;37;978;479;643;124;43;657
8;30926;85;164;191;191;41;147;44;1129;392;572;141;26;583
9;24877;87;191;201;199;142;181;45;1034;378;484;99;9;511
10;27181;104;199;284;284;83;147;47;1112;298;497;100;11;504
11;23719;90;284;247;246;163;171;47;1075;405;462;83;9;474
12;26087;87;246;314;313;72;115;52;1123;281;449;155;7;462
13;23241;106;313;344;340;141;177;52;1125;300;477;117;6;485
14;23395;98;340;320;316;46;161;53;1160;304;426;75;5;442
15;22763;112;316;395;388;114;123;53;1162;257;408;93;18;419
16;21005;112;388;439;434;37;101;50;1101;187;395;101;5;421
17;20970;98;434;388;379;63;140;53;1144;201;362;80;3;375
18;20782;118;379;423;416;39;89;58;1159;164;380;78;12;391
19;22120;104;416;422;412;57;88;63;1239;295;360;87;2;460
20;20700;95;412;319;313;203;194;62;1166;344;416;91;1;422
21;20466;79;313;308;304;53;85;68;1209;180;334;81;5;346
22;21166;88;304;275;274;170;156;71;1301;329;420;74;8;430
23;19178;82;274;274;265;66;104;74;1275;174;333;81;3;342
24;17613;90;265;308;304;13;106;73;1204;210;322;80;4;343
25;16431;93;304;300;295;35;72;76;1242;190;301;82;9;363
26;15720;84;295;270;269;28;43;71;1166;132;209;49;0;219
27;16728;86;269;246;245;51;102;74;1198;166;265;53;6;273
28;16923;72;245;195;191;110;108;74;1277;234;264;48;1;289
29;14882;81;191;165;163;22;66;73;1196;173;201;39;0;246
30;13884;74;163;205;204;25;71;72;1171;123;196;38;4;209
31;13903;82;204;214;214;38;53;79;1222;131;149;26;2;173
32;12310;85;214;220;218;32;75;81;1212;84;175;32;0;183
33;11800;83;218;211;211;32;62;82;1248;79;154;33;0;165
34;10654;88;211;239;237;11;31;85;1223;91;110;29;0;152
35;10165;81;237;207;205;39;61;83;1177;92;129;21;0;140
36;10424;75;205;194;192;31;58;84;1200;98;132;21;0;143
37;9065;76;192;180;178;28;46;79;1127;75;113;24;7;120
38;8605;71;178;172;172;36;62;85;1161;84;114;20;0;121
39;9848;90;172;187;186;18;67;82;1182;72;131;27;0;144
40;11072;92;186;233;231;15;32;90;1287;99;124;31;1;161
41;10932;99;231;237;237;26;78;88;1251;69;167;32;4;176
42;10930;102;237;255;254;47;57;83;1238;118;159;37;1;171
43;9684;94;254;243;239;43;68;93;1250;104;149;28;0;161
44;9098;84;239;212;210;25;50;93;1249;73;122;24;0;127
45;8104;62;210;174;173;44;64;97;1233;95;115;20;0;122
46;6983;72;173;145;145;24;40;95;1220;64;95;19;1;102
47;6946;77;145;155;155;21;52;100;1284;69;102;22;0;113
48;6838;77;155;141;141;34;48;104;1341;73;97;20;0;107
49;6170;77;141;141;141;27;31;96;1238;67;84;17;5;89
50;6238;75;141;146;146;19;28;97;1298;60;71;13;0;82
51;6458;86;146;175;175;28;65;93;1225;73;115;20;3;122
52;6898;101;175;252;247;23;41;87;1171;56;98;25;0;106
53;6450;93;247;237;235;5;33;90;1192;49;76;16;0;88
54;6349;96;235;220;217;18;28;92;1234;57;72;16;0;82
55;6351;100;217;219;214;14;23;97;1270;47;78;21;0;91
56;6022;92;214;194;192;34;38;94;1252;63;78;17;0;82
57;5659;83;192;190;190;18;27;91;1195;46;62;17;0;69
58;5296;78;190;171;171;1;16;97;1234;53;51;15;4;93
59;5720;65;171;157;156;29;44;105;1248;63;75;14;0;87
60;5923;68;156;185;184;7;25;100;1249;37;54;11;0;60
61;6119;89;184;178;176;12;29;98;1228;45;72;17;0;79
62;6536;76;176;178;177;15;25;93;1198;56;67;13;0;76
63;5650;71;177;170;170;21;30;89;1101;49;61;14;0;69
64;6816;73;170;176;176;24;41;84;1170;59;79;19;0;87
65;6967;80;176;186;183;8;24;85;1150;54;63;15;3;105
66;7422;84;183;190;189;33;45;84;1144;64;93;23;0;105
67;8644;95;189;218;217;23;37;89;1246;64;93;26;0;109
68;8138;71;217;186;186;20;45;87;1202;54;98;21;0;106
69;7602;68;186;187;187;24;43;83;1107;57;89;17;0;96
70;7710;65;187;179;176;14;44;81;1112;45;78;16;0;86
71;7621;64;176;145;144;17;28;82;1157;58;72;18;0;90
72;7913;63;144;153;153;17;35;84;1153;50;93;26;0;99
73;7929;64;153;148;147;36;47;88;1169;73;94;22;0;102
74;7713;64;147;152;150;23;60;80;1140;67;110;19;0;117
75;7172;71;150;148;148;22;39;86;1194;47;77;18;0;84
76;7137;71;148;147;146;21;31;91;1202;56;80;19;0;87
77;7571;83;146;168;168;17;34;91;1233;55;85;21;0;92
78;7434;73;168;158;158;24;40;87;1198;63;84;20;0;93
79;6660;75;158;171;170;15;32;87;1174;52;73;16;0;82
80;6611;90;170;184;183;20;34;93;1204;49;72;13;0;80
81;6746;94;183;195;194;4;32;89;1189;43;70;18;0;83
82;7024;95;194;206;206;33;43;82;1152;70;89;21;0;102
83;6401;99;206;205;201;11;22;78;1138;37;68;19;2;76
84;6854;88;201;189;187;15;24;80;1148;44;75;16;0;84
85;7654;85;187;192;191;19;33;84;1180;56;83;19;0;90
86;8328;80;191;209;207;44;45;85;1198;101;102;16;0;110
87;8599;84;207;203;202;9;9;91;1249;64;66;20;1;104
88;7047;81;202;205;204;19;27;86;1144;57;67;15;0;88
89;7365;88;204;196;194;44;40;84;1140;78;87;20;2;94
90;8061;76;194;193;193;49;49;86;1202;101;104;16;1;113
91;7436;75;193;178;177;14;24;78;1105;67;73;17;0;114
92;6771;73;177;170;170;19;33;81;1124;57;72;14;0;81
93;7494;74;170;153;150;11;30;89;1198;42;76;14;4;83
94;8066;77;150;162;161;12;25;87;1206;40;69;17;0;88
95;7908;75;161;176;175;63;70;75;1097;117;128;23;0;140
96;8091;63;175;192;191;19;40;74;1070;52;86;14;0;92
97;7455;71;191;179;178;41;52;75;1034;83;94;17;0;103
98;6826;69;178;162;162;16;32;85;1115;47;64;13;0;71
99;6773;70;162;144;143;6;13;79;1070;42;50;13;0;71
100;7011;64;143;131;131;15;29;77;1063;42;62;16;1;71
101;6466;64;131;130;130;40;50;75;1014;73;89;16;0;96
102;6101;73;130;148;148;27;32;75;1010;60;69;13;0;82
103;6029;60;148;133;130;4;16;74;1008;43;46;13;0;65
104;5874;70;130;120;120;32;47;85;1118;77;77;14;0;90
105;5680;80;120;131;130;17;24;84;1106;56;54;14;0;80
106;6201;77;130;149;149;7;18;79;1067;52;52;16;0;80
107;5575;69;149;139;139;19;32;77;1006;48;62;11;0;69
108;5240;58;139;158;158;3;12;75;951;39;37;11;0;61
109;5326;62;158;144;142;33;38;82;1066;65;71;12;0;80
110;5135;67;142;128;126;17;23;88;1089;44;48;13;0;61
111;4923;61;126;124;123;12;30;82;1038;43;59;11;0;66
112;4754;56;123;116;116;32;49;82;1014;61;72;14;0;80
113;4889;77;116;137;136;16;26;83;1064;46;52;13;0;69
114;4993;75;136;147;147;13;25;82;1051;48;57;14;0;67
115;4873;67;147;150;150;8;30;81;1028;42;59;15;0;71
116;4146;56;150;128;126;15;26;78;965;42;49;10;0;60
117;4194;80;126;144;144;15;30;80;1019;52;57;14;0;65
118;4244;73;144;128;126;12;18;80;1017;36;45;11;0;54
119;4679;76;126;145;144;18;26;84;1066;43;53;12;2;60
120;4282;78;144;161;161;19;21;82;1061;59;57;10;0;68
121;4354;74;161;141;140;15;20;84;1096;41;44;8;1;52
122;3948;70;140;150;150;10;18;82;1018;29;39;10;0;47
123;4083;57;150;121;120;18;30;82;1022;53;56;11;0;67
124;4035;62;120;129;129;13;21;87;1023;43;49;14;0;59
125;3933;64;129;142;142;23;36;93;1026;53;62;14;0;77
126;3726;76;142;146;146;13;22;87;981;44;48;12;0;57
127;3792;61;146;134;133;6;13;91;1031;28;29;10;0;48
128;3736;51;133;120;120;15;20;88;1002;37;42;8;0;49
129;4034;61;120;128;128;12;24;94;1082;33;43;9;0;50
130;3665;55;128;127;127;18;28;92;1020;42;45;10;0;55
131;3358;61;127;103;103;9;13;87;983;28;36;9;0;43
132;3616;60;103;108;108;19;23;86;1030;44;48;10;0;60
133;4026;62;108;109;109;15;21;84;1031;49;43;9;0;60
134;3948;55;109;106;106;9;15;82;1018;47;38;8;0;61
135;4045;57;106;107;107;28;28;84;1022;63;56;14;0;74
136;4571;60;107;115;115;23;25;86;1050;51;56;11;3;67
137;4602;57;115;120;120;16;24;91;1114;51;52;13;0;66
138;4668;73;120;127;127;3;10;87;1071;35;35;12;0;54
139;5397;85;127;151;151;30;31;88;1104;72;74;13;0;82
140;5147;73;151;154;154;21;32;89;1105;58;65;11;0;75
141;5180;66;154;145;144;12;33;91;1105;42;60;13;0;71
142;5700;76;144;149;149;14;23;81;1067;49;60;15;0;78
143;6077;78;149;175;174;12;24;86;1088;47;54;12;0;70
144;5560;64;174;149;149;27;30;81;1003;57;61;13;0;72
145;5088;69;149;144;144;15;28;82;1046;44;57;13;0;67
146;4572;65;144;119;118;20;23;80;993;40;54;13;0;63
147;4356;58;118;110;110;3;8;79;968;35;39;12;0;61
148;4266;80;110;137;137;11;28;81;1023;43;56;12;0;65
149;4804;65;137;120;120;30;39;81;1038;58;68;13;0;77
150;4402;73;120;144;144;23;32;78;1008;53;60;14;0;74
151;4224;65;144;135;135;13;25;78;967;45;52;9;0;58
152;4233;63;135;137;137;8;13;79;980;47;38;11;0;68
153;4233;60;137;130;130;16;19;78;962;40;41;11;0;58
154;4110;65;130;129;128;16;28;78;963;48;55;12;0;64
155;4466;66;128;132;132;13;19;83;1004;41;47;10;0;59
156;4923;67;132;135;135;17;23;80;973;50;63;14;4;72
157;5568;67;135;164;162;32;42;73;941;66;76;14;0;85
158;5678;67;162;172;172;17;36;74;943;45;68;14;0;80
159;5772;62;172;151;150;16;33;77;941;42;64;12;0;79
160;5261;55;150;135;135;16;33;77;916;42;61;13;0;70
161;5489;49;135;134;133;21;32;77;931;46;63;15;0;67
162;5999;57;133;149;149;16;40;76;943;43;69;16;0;77
163;6020;67;149;148;147;27;47;83;991;56;83;21;0;90
164;5600;58;147;117;115;23;47;87;1031;55;79;16;0;89
165;5915;58;115;142;142;10;17;86;1052;57;53;15;0;79
166;5474;64;142;137;136;15;28;76;990;48;56;12;0;68
167;5589;72;136;147;146;13;25;79;975;42;57;14;0;64
168;5708;62;146;151;150;26;36;75;967;69;75;18;0;87
169;5934;62;150;157;156;17;27;79;985;45;67;13;0;74
170;5572;71;156;163;160;24;26;76;979;61;56;12;0;70
171;5607;61;160;131;129;41;49;77;944;75;88;19;0;99
172;6046;52;129;125;125;7;39;78;984;41;70;15;0;77
