Number Flocks;Length;Grid;Time;Flocks
4;4;0.8;26;14720
4;4;0.9;29;18452
4;4;1;42;22685
4;4;1.1;54;27189
4;4;1.2;62;30749
4;4;1.3;76;33842
4;4;1.4;93;37660
4;4;1.5;113;41624
4;6;0.8;27;10205
4;6;0.9;32;12906
4;6;1;47;16254
4;6;1.1;61;20356
4;6;1.2;73;23925
4;6;1.3;87;26951
4;6;1.4;111;30917
4;6;1.5;141;35218
4;8;0.8;28;7620
4;8;0.9;32;9699
4;8;1;48;12189
4;8;1.1;64;15574
4;8;1.2;78;18547
4;8;1.3;94;20952
4;8;1.4;121;24479
4;8;1.5;156;28739
4;10;0.8;29;5954
4;10;0.9;34;7525
4;10;1;50;9481
4;10;1.1;67;12133
4;10;1.2;84;14935
4;10;1.3;101;16718
4;10;1.4;130;19295
4;10;1.5;172;23133
4;12;0.8;30;4601
4;12;0.9;34;5842
4;12;1;51;7596
4;12;1.1;69;9794
4;12;1.2;88;12204
4;12;1.3;107;13725
4;12;1.4;136;15413
4;12;1.5;181;18485
4;14;0.8;30;3408
4;14;0.9;35;4293
4;14;1;53;5892
4;14;1.1;71;7850
4;14;1.2;91;9859
4;14;1.3;112;11372
4;14;1.4;141;12465
4;14;1.5;190;14901
4;16;0.8;30;2464
4;16;0.9;36;3091
4;16;1;54;4323
4;16;1.1;73;5975
4;16;1.2;92;7683
4;16;1.3;110;9291
4;16;1.4;143;10076
4;16;1.5;193;12102
4;18;0.8;30;1802
4;18;0.9;36;2189
4;18;1;52;3045
4;18;1.1;70;4264
4;18;1.2;92;5823
4;18;1.3;113;7364
4;18;1.4;145;7963
4;18;1.5;196;9691
4;20;0.8;29;1363
4;20;0.9;35;1558
4;20;1;53;2115
4;20;1.1;72;2992
4;20;1.2;92;4309
4;20;1.3;114;5727
4;20;1.4;146;6260
4;20;1.5;198;7637
6;4;0.8;20;7147
6;4;0.9;21;9120
6;4;1;34;11554
6;4;1.1;44;14751
6;4;1.2;50;17309
6;4;1.3;62;19924
6;4;1.4;74;23785
6;4;1.5;95;27863
6;6;0.8;21;4883
6;6;0.9;24;6284
6;6;1;36;7831
6;6;1.1;47;10307
6;6;1.2;56;12275
6;6;1.3;70;13782
6;6;1.4;84;16923
6;6;1.5;109;20372
6;8;0.8;21;3489
6;8;0.9;24;4565
6;8;1;36;5775
6;8;1.1;49;7660
6;8;1.2;57;9179
6;8;1.3;73;10163
6;8;1.4;88;11903
6;8;1.5;118;14848
6;10;0.8;21;2519
6;10;0.9;25;3321
6;10;1;37;4222
6;10;1.1;50;5860
6;10;1.2;61;7222
6;10;1.3;77;7992
6;10;1.4;94;8778
6;10;1.5;125;10825
6;12;0.8;22;1799
6;12;0.9;24;2322
6;12;1;38;3068
6;12;1.1;51;4359
6;12;1.2;63;5594
6;12;1.3;78;6419
6;12;1.4;96;6811
6;12;1.5;132;8195
6;14;0.8;21;1178
6;14;0.9;25;1511
6;14;1;38;2089
6;14;1.1;53;3029
6;14;1.2;65;4151
6;14;1.3;81;4945
6;14;1.4;100;5188
6;14;1.5;135;6298
6;16;0.8;22;832
6;16;0.9;24;939
6;16;1;39;1263
6;16;1.1;53;1934
6;16;1.2;67;2884
6;16;1.3;80;3693
6;16;1.4;101;3891
6;16;1.5;135;4728
6;18;0.8;21;630
6;18;0.9;25;612
6;18;1;36;761
6;18;1.1;54;1147
6;18;1.2;64;1797
6;18;1.3;80;2571
6;18;1.4;99;2710
6;18;1.5;136;3379
6;20;0.8;22;561
6;20;0.9;24;471
6;20;1;39;515
6;20;1.1;51;722
6;20;1.2;66;1073
6;20;1.3;80;1671
6;20;1.4;100;1865
6;20;1.5;140;2349
8;4;0.8;13;4299
8;4;0.9;15;5382
8;4;1;22;6761
8;4;1.1;28;8949
8;4;1.2;32;10286
8;4;1.3;42;11905
8;4;1.4;48;14481
8;4;1.5;62;17698
8;6;0.8;14;2737
8;6;0.9;14;3488
8;6;1;23;4487
8;6;1.1;31;6061
8;6;1.2;35;7335
8;6;1.3;45;8056
8;6;1.4;52;9420
8;6;1.5;71;11900
8;8;0.8;14;1933
8;8;0.9;15;2419
8;8;1;23;3057
8;8;1.1;31;4242
8;8;1.2;37;5366
8;8;1.3;46;5968
8;8;1.4;54;6550
8;8;1.5;73;8068
8;10;0.8;14;1367
8;10;0.9;15;1666
8;10;1;24;2114
8;10;1.1;32;2987
8;10;1.2;39;3976
8;10;1.3;48;4526
8;10;1.4;57;4804
8;10;1.5;77;5768
8;12;0.8;14;979
8;12;0.9;16;1134
8;12;1;24;1424
8;12;1.1;33;2025
8;12;1.2;40;2899
8;12;1.3;50;3418
8;12;1.4;57;3524
8;12;1.5;77;4208
8;14;0.8;14;679
8;14;0.9;15;720
8;14;1;24;892
8;14;1.1;32;1270
8;14;1.2;39;1915
8;14;1.3;49;2472
8;14;1.4;57;2531
8;14;1.5;80;3120
8;16;0.8;14;505
8;16;0.9;15;482
8;16;1;24;554
8;16;1.1;33;729
8;16;1.2;40;1074
8;16;1.3;50;1659
8;16;1.4;58;1710
8;16;1.5;79;2172
8;18;0.8;14;445
8;18;0.9;15;364
8;18;1;24;363
8;18;1.1;33;403
8;18;1.2;40;568
8;18;1.3;49;998
8;18;1.4;59;1119
8;18;1.5;80;1437
8;20;0.8;14;434
8;20;0.9;15;350
8;20;1;24;300
8;20;1.1;33;273
8;20;1.2;39;346
8;20;1.3;49;581
8;20;1.4;60;689
8;20;1.5;79;880
10;4;0.8;10;2651
10;4;0.9;11;3353
10;4;1;17;4311
10;4;1.1;21;5724
10;4;1.2;23;6691
10;4;1.3;31;7487
10;4;1.4;34;8968
10;4;1.5;43;11200
10;6;0.8;10;1696
10;6;0.9;11;2110
10;6;1;17;2692
10;6;1.1;23;3642
10;6;1.2;25;4608
10;6;1.3;33;5105
10;6;1.4;36;5722
10;6;1.5;48;7007
10;8;0.8;10;1158
10;8;0.9;11;1473
10;8;1;17;1830
10;8;1.1;23;2516
10;8;1.2;25;3279
10;8;1.3;33;3643
10;8;1.4;37;3862
10;8;1.5;49;4665
10;10;0.8;11;850
10;10;0.9;11;1006
10;10;1;17;1206
10;10;1.1;24;1661
10;10;1.2;27;2401
10;10;1.3;35;2743
10;10;1.4;39;2783
10;10;1.5;51;3228
10;12;0.8;11;635
10;12;0.9;11;702
10;12;1;18;805
10;12;1.1;24;1048
10;12;1.2;28;1627
10;12;1.3;35;1972
10;12;1.4;39;2006
10;12;1.5;52;2388
10;14;0.8;11;452
10;14;0.9;11;488
10;14;1;18;551
10;14;1.1;24;686
10;14;1.2;28;1009
10;14;1.3;34;1298
10;14;1.4;39;1297
10;14;1.5;53;1605
10;16;0.8;11;364
10;16;0.9;11;357
10;16;1;18;360
10;16;1.1;23;428
10;16;1.2;28;525
10;16;1.3;35;788
10;16;1.4;39;880
10;16;1.5;54;1038
10;18;0.8;11;336
10;18;0.9;11;323
10;18;1;17;276
10;18;1.1;24;269
10;18;1.2;28;306
10;18;1.3;34;413
10;18;1.4;38;544
10;18;1.5;52;638
10;20;0.8;11;322
10;20;0.9;11;310
10;20;1;18;259
10;20;1.1;24;207
10;20;1.2;27;236
10;20;1.3;35;248
10;20;1.4;39;332
10;20;1.5;52;379
12;4;0.8;9;1627
12;4;0.9;9;2042
12;4;1;14;2711
12;4;1.1;19;3664
12;4;1.2;19;4386
12;4;1.3;26;5000
12;4;1.4;27;5714
12;4;1.5;34;7061
12;6;0.8;9;1046
12;6;0.9;10;1305
12;6;1;14;1682
12;6;1.1;20;2281
12;6;1.2;20;2969
12;6;1.3;26;3247
12;6;1.4;29;3474
12;6;1.5;38;4165
12;8;0.8;9;740
12;8;0.9;9;881
12;8;1;15;1095
12;8;1.1;19;1514
12;8;1.2;21;2166
12;8;1.3;28;2326
12;8;1.4;28;2387
12;8;1.5;37;2780
12;10;0.8;10;536
12;10;0.9;9;600
12;10;1;15;735
12;10;1.1;20;993
12;10;1.2;22;1506
12;10;1.3;28;1690
12;10;1.4;30;1722
12;10;1.5;39;1965
12;12;0.8;10;427
12;12;0.9;10;424
12;12;1;15;545
