Number Flocks;Length;Grid;Time;Flocks
4;4;0.8;30;14720
4;4;0.9;34;18452
4;4;1;50;22685
4;4;1.1;63;27189
4;4;1.2;74;30749
4;4;1.3;89;33842
4;4;1.4;109;37660
4;4;1.5;134;41624
4;6;0.8;32;10205
4;6;0.9;37;12906
4;6;1;54;16254
4;6;1.1;72;20356
4;6;1.2;85;23925
4;6;1.3;106;26951
4;6;1.4;131;30917
4;6;1.5;169;35218
4;8;0.8;32;7620
4;8;0.9;38;9699
4;8;1;56;12189
4;8;1.1;75;15574
4;8;1.2;91;18547
4;8;1.3;110;20952
4;8;1.4;140;24479
4;8;1.5;182;28739
4;10;0.8;33;5954
4;10;0.9;38;7525
4;10;1;58;9481
4;10;1.1;78;12133
4;10;1.2;97;14935
4;10;1.3;121;16718
4;10;1.4;149;19295
4;10;1.5;203;23133
4;12;0.8;34;4601
4;12;0.9;40;5842
4;12;1;59;7596
4;12;1.1;80;9794
4;12;1.2;101;12204
4;12;1.3;126;13725
4;12;1.4;160;15413
4;12;1.5;218;18485
4;14;0.8;34;3408
4;14;0.9;40;4293
4;14;1;61;5892
4;14;1.1;83;7850
4;14;1.2;110;9859
4;14;1.3;130;11372
4;14;1.4;176;12465
4;14;1.5;239;14901
4;16;0.8;34;2464
4;16;0.9;41;3091
4;16;1;62;4323
4;16;1.1;85;5975
4;16;1.2;111;7683
4;16;1.3;138;9291
4;16;1.4;170;10076
4;16;1.5;236;12102
4;18;0.8;35;1802
4;18;0.9;41;2189
4;18;1;63;3045
4;18;1.1;86;4264
4;18;1.2;116;5823
4;18;1.3;134;7364
4;18;1.4;182;7963
4;18;1.5;253;9691
4;20;0.8;36;1363
4;20;0.9;43;1558
4;20;1;62;2115
4;20;1.1;89;2992
4;20;1.2;109;4309
4;20;1.3;145;5727
4;20;1.4;194;6260
4;20;1.5;259;7637
6;4;0.8;19;7147
6;4;0.9;20;9120
6;4;1;31;11554
6;4;1.1;40;14751
6;4;1.2;47;17309
6;4;1.3;59;19924
6;4;1.4;68;23785
6;4;1.5;85;27863
6;6;0.8;19;4883
6;6;0.9;21;6284
6;6;1;33;7831
6;6;1.1;43;10307
6;6;1.2;54;12275
6;6;1.3;66;13782
6;6;1.4;79;16923
6;6;1.5;104;20372
6;8;0.8;19;3489
6;8;0.9;22;4565
6;8;1;34;5775
6;8;1.1;45;7660
6;8;1.2;56;9179
6;8;1.3;69;10163
6;8;1.4;84;11903
6;8;1.5;112;14848
6;10;0.8;20;2519
6;10;0.9;23;3321
6;10;1;34;4222
6;10;1.1;47;5860
6;10;1.2;57;7222
6;10;1.3;69;7992
6;10;1.4;86;8778
6;10;1.5;115;10825
6;12;0.8;19;1799
6;12;0.9;22;2322
6;12;1;34;3068
6;12;1.1;46;4359
6;12;1.2;58;5594
6;12;1.3;71;6419
6;12;1.4;86;6811
6;12;1.5;119;8195
6;14;0.8;20;1178
6;14;0.9;23;1511
6;14;1;35;2089
6;14;1.1;48;3029
6;14;1.2;62;4151
6;14;1.3;74;4945
6;14;1.4;93;5188
6;14;1.5;125;6298
6;16;0.8;20;832
6;16;0.9;23;939
6;16;1;35;1263
6;16;1.1;49;1934
6;16;1.2;61;2884
6;16;1.3;72;3693
6;16;1.4;92;3891
6;16;1.5;128;4728
6;18;0.8;20;630
6;18;0.9;23;612
6;18;1;36;761
6;18;1.1;49;1147
6;18;1.2;61;1797
6;18;1.3;74;2571
6;18;1.4;92;2710
6;18;1.5;123;3379
6;20;0.8;20;561
6;20;0.9;24;471
6;20;1;35;515
6;20;1.1;50;722
6;20;1.2;60;1073
6;20;1.3;76;1671
6;20;1.4;92;1865
6;20;1.5;125;2349
8;4;0.8;13;4299
8;4;0.9;14;5382
8;4;1;21;6761
8;4;1.1;27;8949
8;4;1.2;31;10286
8;4;1.3;40;11905
8;4;1.4;45;14481
8;4;1.5;60;17698
8;6;0.8;13;2737
8;6;0.9;14;3488
8;6;1;22;4487
8;6;1.1;30;6061
8;6;1.2;34;7335
8;6;1.3;43;8056
8;6;1.4;52;9420
8;6;1.5;67;11900
8;8;0.8;13;1933
8;8;0.9;14;2419
8;8;1;22;3057
8;8;1.1;30;4242
8;8;1.2;35;5366
8;8;1.3;45;5968
8;8;1.4;53;6550
8;8;1.5;71;8068
8;10;0.8;13;1367
8;10;0.9;15;1666
8;10;1;23;2114
8;10;1.1;31;2987
8;10;1.2;37;3976
8;10;1.3;47;4526
8;10;1.4;55;4804
8;10;1.5;75;5768
8;12;0.8;14;979
8;12;0.9;15;1134
8;12;1;23;1424
8;12;1.1;32;2025
8;12;1.2;38;2899
8;12;1.3;48;3418
8;12;1.4;56;3524
8;12;1.5;76;4208
8;14;0.8;14;679
8;14;0.9;15;720
8;14;1;23;892
8;14;1.1;32;1270
8;14;1.2;40;1915
8;14;1.3;48;2472
8;14;1.4;55;2531
8;14;1.5;77;3120
8;16;0.8;14;505
8;16;0.9;15;482
8;16;1;24;554
8;16;1.1;32;729
8;16;1.2;40;1074
8;16;1.3;49;1659
8;16;1.4;58;1710
8;16;1.5;79;2172
8;18;0.8;14;445
8;18;0.9;15;364
8;18;1;23;363
8;18;1.1;32;403
8;18;1.2;39;568
8;18;1.3;49;998
8;18;1.4;57;1119
8;18;1.5;80;1437
8;20;0.8;14;434
8;20;0.9;15;350
8;20;1;24;300
8;20;1.1;32;273
8;20;1.2;39;346
8;20;1.3;48;581
8;20;1.4;57;689
8;20;1.5;80;880
10;4;0.8;10;2651
10;4;0.9;10;3353
10;4;1;16;4311
10;4;1.1;21;5724
10;4;1.2;22;6691
10;4;1.3;29;7487
10;4;1.4;32;8968
10;4;1.5;41;11200
10;6;0.8;10;1696
10;6;0.9;11;2110
10;6;1;16;2692
10;6;1.1;22;3642
10;6;1.2;24;4608
10;6;1.3;32;5105
10;6;1.4;34;5722
10;6;1.5;46;7007
10;8;0.8;10;1158
10;8;0.9;10;1473
10;8;1;16;1830
10;8;1.1;22;2516
10;8;1.2;25;3279
10;8;1.3;32;3643
10;8;1.4;36;3862
10;8;1.5;48;4665
10;10;0.8;10;850
10;10;0.9;11;1006
10;10;1;17;1206
10;10;1.1;23;1661
10;10;1.2;26;2401
10;10;1.3;33;2743
10;10;1.4;36;2783
10;10;1.5;49;3228
10;12;0.8;10;635
10;12;0.9;11;702
10;12;1;17;805
10;12;1.1;23;1048
10;12;1.2;27;1627
10;12;1.3;33;1972
10;12;1.4;38;2006
10;12;1.5;51;2388
10;14;0.8;10;452
10;14;0.9;11;488
10;14;1;17;551
10;14;1.1;23;686
10;14;1.2;27;1009
10;14;1.3;34;1298
10;14;1.4;38;1297
10;14;1.5;53;1605
10;16;0.8;11;364
10;16;0.9;11;357
10;16;1;17;360
10;16;1.1;23;428
10;16;1.2;27;525
10;16;1.3;34;788
10;16;1.4;37;880
10;16;1.5;50;1038
10;18;0.8;11;336
10;18;0.9;11;323
10;18;1;17;276
10;18;1.1;23;269
10;18;1.2;27;306
10;18;1.3;34;413
10;18;1.4;38;544
10;18;1.5;51;638
10;20;0.8;11;322
10;20;0.9;11;310
10;20;1;17;259
10;20;1.1;23;207
10;20;1.2;28;236
10;20;1.3;34;248
10;20;1.4;39;332
10;20;1.5;52;379
12;4;0.8;8;1627
12;4;0.9;8;2042
12;4;1;12;2711
12;4;1.1;16;3664
12;4;1.2;17;4386
12;4;1.3;22;5000
12;4;1.4;23;5714
12;4;1.5;29;7061
12;6;0.8;8;1046
12;6;0.9;8;1305
12;6;1;12;1682
12;6;1.1;17;2281
12;6;1.2;18;2969
12;6;1.3;24;3247
12;6;1.4;25;3474
12;6;1.5;33;4165
12;8;0.8;8;740
12;8;0.9;8;881
12;8;1;12;1095
12;8;1.1;17;1514
12;8;1.2;19;2166
12;8;1.3;24;2326
12;8;1.4;25;2387
12;8;1.5;33;2780
12;10;0.8;8;536
12;10;0.9;8;600
12;10;1;13;735
12;10;1.1;18;993
12;10;1.2;20;1506
12;10;1.3;24;1690
12;10;1.4;26;1722
12;10;1.5;34;1965
12;12;0.8;9;427
12;12;0.9;8;424
12;12;1;13;545
12;12;1.1;17;656
12;12;1.2;20;1047
12;12;1.3;25;1143
12;12;1.4;26;1196
12;12;1.5;34;1367
12;14;0.8;8;292
12;14;0.9;9;299
12;14;1;13;392
12;14;1.1;18;457
12;14;1.2;20;600
12;14;1.3;25;679
12;14;1.4;27;779
12;14;1.5;35;926
12;16;0.8;8;227
12;16;0.9;9;218
12;16;1;14;261
12;16;1.1;18;297
12;16;1.2;20;333
12;16;1.3;26;372
12;16;1.4;26;515
12;16;1.5;35;614
12;18;0.8;8;190
12;18;0.9;8;204
12;18;1;13;217
12;18;1.1;18;210
12;18;1.2;20;216
12;18;1.3;25;238
12;18;1.4;26;297
12;18;1.5;35;364
12;20;0.8;8;145
12;20;0.9;8;184
12;20;1;13;195
12;20;1.1;18;174
12;20;1.2;20;178
12;20;1.3;25;187
12;20;1.4;25;208
12;20;1.5;35;231
14;4;0.8;6;979
14;4;0.9;7;1222
